Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Golovin Aleksandr,MO,17,2,,39,97.9,85.89,39,46,41,48,36,45,31,41,6.25,6.75,06.02,592.6,10,4,31,1.16,1.19,0.95,5,3,10,1,1,0.94,867,342,2469,86.7,85.5,79.65,173,247,7,3.4,7.5,5.5,8,6,0,6,7,7.5,5,5,5,0,4.5,5,5,7,5,0,7,5.5,6.5,0,5.5,5.5,5,7,7,7,5.5,6,6,5,7,6,6,0,0,0,4,,1,2,2,1,17,12,13,0.7954,595,3,10,50,12,null,null,12,25,15,11,2,10,147,15,15,13,null,4,null,10,1,19,248.2,-97.7,1.36,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,Sursis (5sem.)
Minamino Takumi,MO,13,-1,,26,98.2,77.78,25,31,24,30,34,44,30,36,6,5.25,5.61,580.1,10,4,19,1.33,0.5,01.07,3,0,3,0.8,0.5,0.68,665,150,1057,66.5,37.5,55.63,222,352,7,4.33,5,5,6,5,0,5,4.5,7.5,7,8.5,6.5,4.5,0,0,4.5,5,0,5.5,0,0,0,5.5,5.5,0,0,0,5,5.5,0,0,0,0,0,5.5,0,0,0,0,2,,null,1,3,3,19,16,6,0.7034,413,3,9,48.65,10,null,null,11,14,5,5,3,9,104,10,10,6,null,4,null,10,1,22,193.95,-70.65,0.04,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Akliouche Maghnes,MO,11,3,,15,53.45,26.43,14,16,14,16,11,11,15,18,5.56,5.9,5.25,559.67,9,5,14,01.04,1.24,0.96,3,2,3,0.22,0.4,0.29,282,238,436,31.33,47.6,31.14,94,145,6,3.67,5,6,5.5,5,8,0,4.5,5,0,5,6,5,0,4.5,5,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,1,null,12,9,2,0.8171,205,1,1,44.9,8,null,null,5,8,5,4,null,3,44,6,6,8,null,6,null,12,2,7,121.5,-56.44,0.93,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Zakaria Denis,MD,14,3,,14,43.54,5.11,14,16,14,16,14,14,14,14,5.78,6.25,5.47,525,9,2,15,01.03,1.77,0.93,1,1,1,0.89,1,0.8,726,180,1083,80.67,90,72.2,726,1083,7.5,14,7.5,5,0,7,5.5,5,6.5,5,4.5,6,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5.5,0,0,0,0,0,5,5,5.5,0,0,0,0,0,3,,null,null,null,null,6,3,1,0.9214,530,18,10,63.16,6,null,null,28,33,1,1,13,8,44,2,2,2,null,3,null,8,null,10,185.72,-88.28,-1.3,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Fofana Youssouf,MD,13,2,,17,72.97,27.03,16,20,16,19,13,13,17,20,5.64,5.64,5.41,543,11,11,34,0.84,0.84,01.08,0,0,1,1,1,0.97,963,963,2976,87.55,87.55,87.53,,2976,6,1000,5.5,5.5,6,7,5.5,4.5,6,6,4,6.5,5.5,5.5,6,5,6,7,2,4.5,5.5,0,6,6,5.5,3.5,4,6,6,6.5,5.5,7,6,5,5,3.5,5,0,0,0,4,,null,null,3,2,20,12,1,0.8165,833,14,12,46.99,13,null,null,24,45,2,2,10,11,162,15,15,14,null,5,null,11,4,18,232.64,-149.5,-21.3,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,Sursis (6sem.)
Camara Mohamed,MD,10,-1,,13,23.72,4.2,11,13,11,11,13,13,12,20,5.44,5,5.23,502.22,9,1,28,0.88,0,0.95,0,0,0,0.67,0,0.82,407,1,1894,45.22,1,67.64,,,null,1000,5,0,5,5,4.5,6,0,7,4.5,6.5,5.5,6,4.5,5,0,4,3.5,4,6,5,4.5,7,0,0,4.5,0,6,6.5,4,0,4.5,6,6,5,5.5,0,0,0,2.5,,null,null,null,null,8,5,1,0.8327,388,6,7,48.21,9,null,null,11,17,null,null,null,4,36,7,7,5,null,6,null,13,1,4,124.11,-64.33,-4.82,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Ben Seghir Eliesse,MD,1,-2,,3,31.83,20.72,2,3,2,3,4,4,4,5,5.25,0,5.14,485.5,2,0,21,0.35,0,0.96,0,0,4,0,0,0.62,32,0,1093,16,0,52.05,,273,6,1000,0,5.5,5,0,0,0,0,0,0,0,0,4,5,5,5,5,4.5,0,5,5.5,6,5.5,0,0,3,4.5,7,0,6,4.5,5,5,4.5,7.5,0,0,0,0,null,,null,null,null,null,1,0,null,0.8889,28,null,null,80,null,null,null,1,1,2,1,null,null,3,null,null,null,null,null,null,-1,null,null,50,-14.25,0.35,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,† Epaule (6sem.)
Matazo Eliot,MD,10,1,,,,,10,10,10,10,10,10,10,10,5,0,05.05,501,6,0,22,0.77,0,0.51,0,0,1,0,0,0.41,98,0,915,16.33,0,41.59,,915,6,1000,0,0,0,0,4.5,4.5,5,5,0,4.5,6.5,0,5,4.5,5.5,5.5,5,5,5,6,5,0,5.5,5,0,5,5,0,0,4.5,5,0,0,4.5,0,0,0,0,null,,null,null,1,1,1,1,1,0.8273,80,3,1,50,5,null,null,4,8,1,1,null,3,16,2,2,1,null,3,null,8,null,2,62.33,-36.33,-3.23,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Diop Edan,MD,1,0,,1,1.2,0.6,1,1,1,1,1,1,1,1,5,0,5,513,1,0,8,0,0,0.53,0,0,1,0,0,0.13,1,0,220,1,0,27.5,,220,6,1000,0,0,5,0,0,0,0,0,0,0,0,5.5,0,0,0,4.5,4.5,5,0,0,6,0,0,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,1,7,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,1,null,null,null,null,null,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Magassa Soungoutou,MD,8,2,,10,7.51,3.9,8,9,8,9,11,13,8,11,4.94,5.5,4.95,539.78,9,1,10,0.63,0,0.6,0,0,0,1,1,0.9,759,90,766,84.33,90,76.6,,,null,1000,5.5,0,0,5,4.5,4,4.5,5,4.5,6,5.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,null,null,null,null,5,3,null,0.8372,650,13,15,54.74,17,null,null,39,27,1,1,21,9,94,1,1,3,null,5,null,12,null,13,166.94,-171,-16.79,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Diatta Krépin,MO,10,2,,13,2.4,0.6,12,14,12,14,10,12,10,10,4.75,4.6,5.26,513.3,10,5,29,0.63,0.89,01.01,0,0,3,0.4,0.8,0.66,435,375,1723,43.5,75,59.41,,574,6,1000,5,3,5,5,5,0,5,4.5,5,5,5,0,5.5,4.5,0,5,4.5,3.5,7,5.5,0,6,5,4.5,4.5,5,7,6.5,0,5.5,8,5.5,6,0,6,0,0,0,2,,null,null,null,null,4,0,3,0.8192,381,7,8,48.84,9,null,null,15,17,4,4,7,4,77,5,5,10,null,6,null,12,null,6,99.55,-114.45,-12.27,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Gelson Martins,MO,1,0,,1,3.3,1.5,1,1,1,1,1,1,1,1,0,0,4.93,0,0,0,7,0,0,0.53,0,0,0,0,0,0.29,0,0,232,0,0,33.14,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4.5,6,4.5,0,5,5,4.5,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,🏠Ecarté (2sem.)
Bamba Mohamed,MD,1,0,,1,0.3,0.3,1,1,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Ben Yedder Wissam,A,29,-2,,55,98.5,79.88,52,71,58,72,72,80,31,46,5.59,5.59,5.58,541.82,11,11,31,1.28,1.28,1.45,5,5,19,0.82,0.82,0.87,816,816,2207,74.18,74.18,71.19,163,116,5,5.8,4.5,5,4.5,7,5,4.5,4.5,5,6.5,7,8,6,4.5,6.5,0,0,3,3,7,5,4.5,6.5,4,7,4,6,8.5,0,7,4,8,6,0,5,6,0,0,0,3,,null,null,null,null,18,11,10,0.7665,338,3,3,39.34,4,null,null,3,9,2,null,null,11,91,14,14,11,null,5,null,11,2,7,123.38,-30.45,12.98,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Balogun Folarin,A,22,4,,54,98.2,86.49,54,70,61,72,50,60,22,52,4.88,4.88,5.27,523.88,8,8,31,1.62,1.62,1.48,3,3,16,0.75,0.75,0.9,487,487,2451,60.88,60.88,79.06,162,153,4,7.33,4.5,4,5,6,7,2,6.5,4,0,0,0,6,4,6,6,6,4.5,5,3.5,4,7,6,7,4,5.5,3,6,5,8.5,6.5,3.5,5,0,8,4.5,0,0,0,2.5,,null,null,1,2,15,13,4,0.7909,220,2,1,30.43,11,null,null,1,11,5,5,1,6,81,8,8,15,null,3,null,6,3,28,112.13,-76.32,8.82,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Boadu Myron,A,7,0,,8,3.6,0.6,8,8,8,10,7,7,8,8,4.64,4.33,4.61,482,7,3,18,0.63,0.29,0.68,1,0,3,0,0,0.17,61,47,332,8.71,15.67,18.44,61,111,6,7,4.5,4,4.5,0,4.5,4.5,0,0,6,0,4.5,0,0,0,4.5,6,0,4,4.5,0,0,0,4.5,4.5,4,6,0,0,0,0,4.5,4,4,0,0,0,0,0,null,,null,null,null,null,2,2,null,0.3184,26,null,2,30.77,3,null,null,null,2,null,null,null,null,11,null,null,1,null,2,null,3,null,3,24.11,-8.99,04.07,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Embolo Breel,A,1,0,,5,6.61,3,1,2,2,2,1,1,1,2,0,0,4.94,0,0,0,18,0,0,01.03,0,0,5,0,0,0.33,0,0,772,0,0,42.89,,154,6,1000,0,0,0,0,0,0,0,0,0,0,0,5.5,4,5,4.5,0,0,0,0,0,0,5,4,4.5,4,5,5.5,7,6,4,7,6,4,4,4,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,† Lig croisés (4sem.)
Efekele Malamine,A,1,0,,,0.9,,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Etonde Romaric,A,1,0,,,0.3,,2,2,,,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Bizot Marco,G,18,2,,22,82.88,63.36,21,26,22,26,22,25,18,18,5.77,5.77,5.63,534.55,11,11,35,01.01,01.01,1.18,0,0,0,1,1,1,990,990,3150,90,90,90,,,null,1000,4,7,5.5,5.5,6,6.5,6.5,6.5,5.5,6.5,4,4.5,6,5,6,4,7.5,6,7.5,6.5,5.5,5,4.5,7,3,4,4.5,5,8,6,6,6.5,6,4,5.5,0,0,0,3,,null,null,null,null,0,0,null,,null,null,null,,null,23,16,null,null,null,null,null,13,null,null,null,null,22,null,1,-2,null,null,148.36,-65,-2.95,7.00,Brest,Strasbourg,dim. 12/11 13:00,52.91005291005292,0.46717,0.46248,0.45912,Sursis (4sem.)
Coudert Grégoire,G,7,0,,7,26.43,17.42,7,8,7,8,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Brest,Strasbourg,dim. 12/11 13:00,52.91005291005292,0.46717,0.46248,0.45912,
Lala Kenny,DL,16,3,,19,92.79,60.36,18,21,19,21,19,21,16,19,5.27,5.27,5.27,531.27,11,11,28,0.96,0.96,0.86,1,1,1,1,1,0.96,990,990,2409,90,90,86.04,990,2409,6.5,16,4,4,5.5,5,6,7,5,5.5,4.5,5,6.5,5,5.5,5,5.5,5.5,7,0,6.5,4,5.5,0,0,0,5.5,4.5,3.5,5.5,5,5.5,5,5.5,0,0,0,0,0,0,2,,null,null,2,3,7,7,11,0.8047,763,12,20,51.61,11,null,null,49,38,54,43,18,13,137,9,9,3,null,null,1,-2,null,12,226.27,-203.95,-15.55,0,Brest,Strasbourg,dim. 12/11 13:00,52.91005291005292,0.46717,0.46248,0.45912,
Brassier Lilian,DC,13,0,,16,63.36,21.32,15,16,15,16,17,18,15,17,05.05,4,05.09,515.1,10,2,33,0.93,0,0.82,1,0,1,1,1,0.97,878,179,2860,87.8,89.5,86.67,878,2860,6.5,13,4,4,0,5,6,6,5.5,5,4,6.5,4.5,5.5,6,5.5,5.5,4,6,5,5.5,6,6,4.5,4.5,5.5,4.5,4,3.5,5,6,5.5,5.5,5,0,3.5,5.5,0,0,0,2,,null,null,null,1,6,2,2,0.789,596,19,8,62.5,13,null,null,40,29,2,1,24,12,111,2,2,2,null,1,null,-1,null,4,162.15,-161.7,-15.74,5.50,Brest,Strasbourg,dim. 12/11 13:00,52.91005291005292,0.46717,0.46248,0.45912,Suspendu
Dari Achraf,DC,6,0,,7,1.5,1.2,8,8,7,8,6,7,10,10,5,0,05.04,505.25,4,0,12,0.41,0,0.54,0,0,0,0.25,0,0.67,119,0,715,29.75,0,59.58,,,null,1000,0,5,4.5,0,0,0,5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5,5.5,5,5,4,5.5,0,6,0,0,0,0,0,0,0,0,null,,null,null,null,null,1,1,null,0.7077,106,5,1,50,2,null,null,4,5,null,null,9,2,13,null,null,null,null,-1,1,-1,null,2,61,-70,-3.25,5.50,Brest,Strasbourg,dim. 12/11 13:00,52.91005291005292,0.46717,0.46248,0.45912,
Chardonnet Brendan,DC,13,2,,15,58.86,17.12,14,16,14,17,15,16,13,16,4.95,4.95,5.14,522.55,11,11,28,0.82,0.82,0.88,0,0,0,1,1,0.93,990,990,2354,90,90,84.07,,,null,1000,4.5,3.5,5,5,5.5,6.5,5.5,5,4,5.5,4.5,5,5.5,6,6,4,6,6,6,7,5,5.5,0,5,0,0,0,0,0,0,4.5,5,5,3,5,0,0,0,2,,null,null,null,1,6,4,3,0.793,616,12,8,59.21,12,null,null,32,27,6,4,31,13,108,4,4,1,null,null,null,-2,null,7,140.41,-147.09,-15.87,5.00,Brest,Strasbourg,dim. 12/11 13:00,52.91005291005292,0.46717,0.46248,0.45912,Sursis (3sem.)
Locko Bradley,DL,10,2,,11,47.15,27.93,10,12,10,12,10,10,10,10,4.95,4.95,05.03,525,11,11,20,0.72,0.72,0.57,0,0,0,1,1,0.65,990,990,1266,90,90,63.3,,,null,1000,4,4,5,5,5.5,5.5,5.5,5.5,4.5,6,4,5,0,0,0,5,0,0,5,6,0,0,0,5,5,0,5,0,0,0,5,0,0,0,5,0,0,0,2,,null,null,1,2,3,2,5,0.8082,763,15,22,57.24,11,null,null,36,26,29,16,11,13,150,7,7,13,null,null,null,-2,null,20,190.73,-204.55,-20.72,5.00,Brest,Strasbourg,dim. 12/11 13:00,52.91005291005292,0.46717,0.46248,0.45912,
Le Cardinal Julien,DL,5,0,,,0.3,,5,5,5,5,5,5,5,5,4.67,0,4.88,490.33,3,0,12,0.58,0,0.38,0,0,0,0,0,0.25,59,0,310,19.67,0,25.83,,,null,1000,0,0,0,0,5,0,0,0,4,0,5,5,0,5,0,0,0,5,0,0,0,0,0,0,5,0,4.5,5.5,0,0,5,0,0,5,4.5,0,0,0,null,,null,null,null,null,0,0,null,0.9259,46,null,3,55.56,2,null,null,2,4,5,5,null,2,5,null,null,null,null,-2,null,-3,null,null,58.33,-108.33,-7.23,0,Brest,Strasbourg,dim. 12/11 13:00,52.91005291005292,0.46717,0.46248,0.45912,
