Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Köhn Philipp,G,15,1,,18,56.76,28.53,16,19,17,19,16,23,15,21,5.36,5.36,5.36,528,11,11,11,01.03,01.03,01.03,0,0,0,1,1,1,990,990,990,90,90,90,,,null,1000,6,4,6,6,5.5,6.5,4,6.5,4,6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,null,null,null,null,0,0,null,,null,null,null,,null,15,11,null,null,null,null,null,12,null,null,null,null,9,5,1,11,null,null,97.36,-55.45,-8.41,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Majecki Radoslaw,G,7,0,,7,10.21,6.31,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Lienard Yann,G,3,0,,3,1.8,0.6,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Singo Wilfried,DC,15,2,,22,97,86.19,21,25,22,25,22,25,21,25,5.9,5.9,5.41,561.8,10,10,32,1.2,1.2,01.04,1,1,3,1,1,0.84,900,900,2357,90,90,73.66,900,786,6.5,15,6.5,4,5.5,7.5,5.5,4.5,5.5,7.5,5.5,7,0,4.5,6.5,5.5,6,0,6,5,4.5,5,5,5,3.5,6.5,6,3,6.5,5,0,5,5,4.5,5,0,6,5,0,0,4,,null,null,null,1,10,5,1,0.8693,786,21,9,66,14,null,null,42,40,6,4,32,10,92,7,7,1,null,4,null,9,null,5,232.1,-138.1,-9.8,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,Sursis
Maripán Guillermo,DC,11,2,,13,60.06,23.12,11,15,11,15,11,11,11,14,5.64,6,5.19,576,7,1,24,01.07,0,01.06,1,0,2,0.86,1,0.96,541,90,2025,77.29,90,84.38,541,1013,7,11,6,0,0,7,5.5,5,4.5,7,0,0,4.5,5,3,0,0,0,4,4,5.5,4.5,4.5,6,0,0,0,0,5.5,7.5,4.5,5.5,6,5,5.5,5,4,0,0,0,3,,null,null,null,null,5,4,null,0.7479,364,9,2,48.72,4,null,null,18,14,null,null,35,6,38,1,1,null,null,4,null,9,null,1,162.57,-95.71,-8.99,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Vanderson,DL,10,-2,,15,65.77,29.13,13,16,12,15,16,26,18,22,5.29,0,5.22,577,7,0,25,1.22,0,1,1,0,2,1,0,0.88,585,0,1948,83.57,0,77.92,585,974,6.5,10,0,0,0,0,4.5,4.5,5,5,5,5,8,5,4.5,3.5,5,5.5,0,3,6.5,5,6.5,5,5.5,0,0,0,0,0,6,5.5,6.5,4.5,5.5,5.5,5,0,0,0,2,,null,null,1,2,12,10,9,0.7665,431,9,10,44.3,15,null,null,19,22,18,16,7,8,86,6,6,3,null,3,null,8,null,9,239.64,-201.71,-22.03,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,† Genou
Jakobs Ismail,DL,10,3,,12,46.85,27.93,11,13,11,13,10,10,10,12,5.22,5.29,4.85,552.78,9,7,30,1.18,1.35,0.98,1,1,1,0.56,0.71,0.37,441,438,1208,49,62.57,40.27,441,1208,8,10,5,4,6,8,4.5,5,4.5,0,0,5,5,0,4.5,3,6,5,3.5,3.5,5,5,5,0,5,5,4,4.5,5,0,4,4.5,4.5,7,5,4.5,5,0,0,0,2,,null,null,1,1,5,3,3,0.741,379,6,15,64.06,9,null,null,15,9,26,23,11,7,89,9,9,1,null,4,null,8,null,11,158.78,-128,-13,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,
Caio Henrique,DL,3,-11,,16,39.34,26.13,14,20,14,18,22,28,14,21,5.83,0,5.17,597.17,6,0,29,1.44,0,01.09,0,0,0,1,0,0.93,529,0,2432,88.17,0,83.86,,,null,1000,0,0,0,0,0,6,4.5,8,5,7,4.5,4.5,5,4,5.5,5.5,2.5,4,5.5,6.5,4.5,5,5,5,5,5.5,5,7,4.5,6,5,4.5,6,0,4,0,0,0,2.5,,null,null,4,4,4,1,7,0.8444,443,4,6,60.61,2,null,null,15,17,18,13,8,6,77,10,10,3,null,2,null,7,null,8,243.58,-150.42,-16.18,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,† Genou (6sem.)
Matsima Chrislain,DC,6,0,,6,3.3,1.8,6,6,6,6,14,14,6,6,4.5,0,4.85,517.2,5,0,17,0.94,0,0.96,0,0,0,0.6,0,0.59,296,0,944,59.2,0,55.53,,,null,1000,0,3.5,6,4,0,0,0,0,0,4.5,4.5,0,0,4,6,6,4,0,0,5,5,0,0,0,3.5,7,0,0,0,0,4.5,0,5,5,5,0,0,0,null,,null,null,1,null,2,0,null,0.9264,261,4,7,45.65,10,null,null,9,12,null,null,4,5,20,3,3,1,null,3,null,6,null,3,114.9,-158.6,-16.4,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,Sursis (6sem.)
Salisu Mohammed,DC,5,-4,,8,9.91,1.8,5,5,5,5,12,12,22,22,0,0,4.5,0,0,0,9,0,0,0.83,0,0,0,0,0,0.89,0,0,801,0,0,89,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,5.5,4,5.5,5.5,4.5,3.5,4,3.5,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,Havre AC,sam. 11/11 21:00,57.80346820809249,0.56951,0.57243,0.57026,† Pubalgie (2sem.)
