Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Contini Nikita,G,1,0,,1,22.37,15.79,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
Østigård Leo,DC,9,3,,9,12.16,8.11,9,9,9,9,9,9,9,9,5.29,0,5.29,402.86,7,0,12,1.11,0,0.92,1,0,1,0.71,0,0.67,452,0,770,64.57,0,64.17,452,770,7.5,9,0,4,7.5,5.5,5.5,4.5,0,5,5,6,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4.5,5,0,0,0,0,1.5,,null,null,null,null,1,1,null,0.7478,398,7,4,67.65,3,null,null,18,13,1,1,14,6,48,2,2,1,null,3,null,9,null,3,120.57,-98.29,-10.27,0,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
Di Lorenzo Giovanni,DL,15,-2,,24,97.37,93.42,23,26,22,25,22,24,29,32,5.22,5.22,5.4,403,9,9,35,1.52,1.52,1.17,1,1,4,1,1,0.97,810,810,3077,90,90,87.91,810,769,6.5,15,4.5,3,5.5,5.5,5,4,4.5,7,8,5,0,8,5,5.5,5,4.5,6,5,6.5,3.5,6,5.5,5,5,5,7.5,5,5,7.5,6,6,4,4,5.5,5.5,5.5,0,0,3.5,,null,null,2,2,7,3,7,0.861,688,4,12,44.44,2,null,null,19,18,32,24,7,9,94,17,17,4,null,3,null,10,null,8,206.56,-179.56,-19.67,3.50,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
Rrahmani Amir,DC,9,-5,,19,92.47,72.6,19,22,20,22,18,24,19,24,5.5,5.5,5.44,269.25,4,1,25,0.71,0,1,0,0,2,1,1,0.92,360,90,2098,90,90,83.92,,1049,7,1000,5.5,0,0,0,0,0,4.5,6,6,6,4.5,6,5,0,4.5,4.5,5,0,4.5,3,6,7.5,4,5.5,7,6,6,5.5,5.5,7,5.5,5.5,0,0,0,0,0,0,2,,null,null,null,null,2,1,null,0.8888,363,4,3,71.43,3,null,null,18,14,null,null,7,3,41,2,2,null,null,2,null,5,null,2,156.63,-93.5,-8.02,3.00,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
Juan Jesus,DC,8,-3,,12,85.14,66.22,12,14,10,10,13,15,12,15,5.5,0,5.34,269.75,4,0,16,0.58,0,0.54,0,0,0,1,0,0.69,359,0,1018,89.75,0,63.63,,,null,1000,0,0,0,0,0,5,5,6,6,0,4.5,5,4.5,0,0,5,5.5,5.5,0,5,0,5,0,0,0,0,0,0,0,0,6,0,5.5,0,6,6,0,0,2,,null,null,null,null,1,1,null,0.9392,355,4,5,69.23,2,null,null,14,11,null,null,5,4,21,2,2,null,null,1,null,3,null,1,153.88,-100.5,-9.7,5.00,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
Olivera Mathías,DL,8,-2,,12,90.54,58.11,11,13,11,13,11,13,12,13,5,0,05.02,364.57,7,0,28,1.15,0,0.89,0,0,1,0.86,0,0.75,489,0,1884,69.86,0,67.29,,1884,7,1000,0,3,6,0,5,5,4,6,6,0,4,5,4,5,4.5,7,5,4.5,5,0,6.5,5,3.5,5,6,5,5,4.5,0,5,0,5,5,0,6,0,0,0,3,,null,null,null,null,4,2,3,0.8449,424,5,11,58.73,5,null,null,16,12,10,5,8,5,59,6,6,6,null,1,null,5,null,6,144.93,-151.57,-14.4,0,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
Zanoli Alessandro,DL,1,0,,2,9.46,8.11,1,3,4,4,1,1,4,4,5,5,4.98,504,1,1,24,0,0,0.81,0,0,2,0,0,0.67,23,23,1572,23,23,65.5,,786,6,1000,5,0,0,0,0,0,0,0,0,5.5,4.5,4.5,7,3.5,4.5,3,5,5,6,5,6,4.5,6,4.5,5,5,5,5.5,4.5,5,5,0,0,0,0,5,0,0,null,,null,null,null,null,0,0,null,0.95,23,null,null,,null,null,null,null,1,1,1,1,null,2,null,null,null,null,1,null,2,null,null,20.5,-27,-3.4,0,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
Natan,DC,9,1,,12,22.37,14.47,11,14,10,12,17,18,11,13,5,5,5,545,5,5,5,1.22,1.22,1.22,0,0,0,1,1,1,450,450,450,90,90,90,,,null,1000,4,3.5,6.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,null,null,null,null,1,1,null,0.893,342,2,7,50,5,null,null,9,5,1,1,15,5,34,2,2,null,null,2,null,7,null,4,130.5,-126.2,-14.98,0,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
Mário Rui,DL,7,-1,,12,28.38,17.57,8,10,7,7,8,32,9,10,4.92,5,5.24,426.83,6,1,19,0.2,0,0.86,0,0,0,0.5,1,0.79,298,67,1308,49.67,67,68.84,,,null,1000,5,0,0,5,5,4.5,5,0,5,6,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,5.5,5.5,5,6,5,6.5,0,4.5,6,0,7,0,0,null,,null,null,null,null,2,1,3,0.839,270,4,5,50,8,null,null,10,4,11,11,8,4,38,5,5,1,null,2,null,6,1,3,94.67,-107.5,-11.6,3.00,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
Politano Matteo,MO,14,3,,16,66.44,53.42,15,21,16,21,17,21,15,20,6,6,5.26,448.22,9,9,25,1.2,1.2,01.03,4,4,4,0.67,0.67,0.56,517,517,1198,57.44,57.44,47.92,129,300,5.5,3.5,8,5,5.5,6.5,4.5,6.5,4.5,6.5,7,0,0,5,5,0,0,0,0,5,4.5,4,0,7,4.5,0,4.5,0,4.5,0,4.5,4.5,5,4.5,5,5,5,0,0,0,3,1,null,null,3,3,15,9,7,0.8099,335,5,4,50,4,null,null,14,10,15,10,2,5,63,20,20,1,null,3,null,10,null,6,161.56,-42.81,5.39,4.00,Napoli,Milan,dim. 29/10 20:45,46.51162790697674,0.71812,0.71593,0.70655
