Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Köhn Philipp,G,15,1,,19,74.02,45.79,17,21,15,20,17,22,17,21,5.44,5.44,5.44,529.56,9,9,9,01.01,01.01,01.01,0,0,0,1,1,1,810,810,810,90,90,90,,,null,1000,6,6,5.5,6.5,4,6.5,4,6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,null,null,null,null,0,0,null,,null,null,null,,null,13,9,null,null,null,null,null,10,null,null,null,null,8,5,1,11,null,null,103.22,-54.44,-6.62,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Majecki Radoslaw,G,7,0,,8,22.06,14.21,7,8,7,8,7,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Lienard Yann,G,3,0,,4,4.86,3.18,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Singo Wilfried,DC,15,2,,21,98.32,88.79,21,25,21,25,21,24,22,26,06.06,06.06,5.36,574.38,8,8,32,01.12,01.12,01.03,1,1,3,1,1,0.84,720,720,2348,90,90,73.38,720,783,6.5,15,5.5,7.5,5.5,4.5,5.5,7.5,5.5,7,0,4.5,6.5,5.5,6,0,6,5,4.5,5,5,5,3.5,6.5,6,3,6.5,5,0,5,5,4.5,5,0,6,5,4,5,0,0,3,,null,null,null,1,9,4,1,0.8749,645,17,9,66.67,11,null,null,30,35,5,3,23,8,71,7,7,1,null,4,null,9,null,3,237.25,-128.87,-9.52,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Maripán Guillermo,DC,11,2,,13,87.29,48.22,12,15,11,15,12,15,12,15,5.58,0,5.22,575.67,6,0,25,1.16,0,01.05,1,0,2,0.83,0,0.96,451,0,2115,75.17,0,84.6,451,1058,7,11,0,7,5.5,5,4.5,7,0,0,4.5,5,3,0,0,0,4,4,5.5,4.5,4.5,6,0,0,0,0,5.5,7.5,4.5,5.5,6,5,5.5,5,4,6,6,0,0,0,2,,null,null,null,null,4,4,null,0.7163,320,8,2,50,4,null,null,13,14,null,null,27,6,36,1,1,null,null,3,null,7,null,1,160.08,-103,-11.7,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Jakobs Ismail,DL,10,3,,10,10.09,5.98,10,11,10,10,10,10,10,11,5.43,5.6,4.9,566.86,7,5,30,1.24,1.47,0.97,1,1,1,0.43,0.6,0.33,270,267,1093,38.57,53.4,36.43,270,1093,8,10,6,8,4.5,5,4.5,0,0,5,5,0,4.5,3,6,5,3.5,3.5,5,5,5,0,5,5,4,4.5,5,0,4,4.5,4.5,7,5,4.5,5,5,5.5,0,0,0,1,,null,null,1,1,4,2,1,0.7434,246,5,10,74.42,3,null,null,11,7,14,12,7,5,62,8,8,null,null,4,null,8,null,8,150.93,-92.21,-9.57,6.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Vanderson,DL,10,-2,,18,95.51,72.9,17,21,16,20,18,21,19,22,5.29,0,5.3,577,7,0,27,1.22,0,1,1,0,2,1,0,0.85,585,0,2075,83.57,0,76.85,585,1038,6.5,10,0,0,4.5,4.5,5,5,5,5,8,5,4.5,3.5,5,5.5,0,3,6.5,5,6.5,5,5.5,0,0,0,0,0,6,5.5,6.5,4.5,5.5,5.5,5,6,6.5,0,0,0,2,,null,null,1,2,12,10,9,0.7665,431,9,10,44.3,15,null,null,19,22,18,16,7,8,86,6,6,3,null,3,null,8,null,9,239.64,-201.71,-22.03,5.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,† Incertain
Caio Henrique,DL,3,-11,,22,93.08,80,21,25,21,25,21,25,21,26,5.83,0,5.18,597.17,6,0,31,1.44,0,01.05,0,0,0,1,0,0.9,529,0,2557,88.17,0,82.48,,,null,1000,0,0,0,6,4.5,8,5,7,4.5,4.5,5,4,5.5,5.5,2.5,4,5.5,6.5,4.5,5,5,5,5,5.5,5,7,4.5,6,5,4.5,6,0,4,5.5,5,0,0,0,2.5,,null,null,4,4,4,1,7,0.8444,443,4,6,60.61,2,null,null,15,17,18,13,8,6,77,10,10,3,null,2,null,7,null,8,243.58,-150.42,-16.18,5.50,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,† Genou (7sem.)
Matsima Chrislain,DC,6,0,,9,3.18,1.5,6,11,6,6,6,12,6,6,4.75,5,4.94,527.25,4,2,16,0.87,1.41,0.93,0,0,0,0.5,0.5,0.56,227,135,875,56.75,67.5,54.69,,,null,1000,6,4,0,0,0,0,0,4.5,4.5,0,0,4,6,6,4,0,0,5,5,0,0,0,3.5,7,0,0,0,0,4.5,0,5,5,5,0,0,0,0,0,null,,null,null,1,null,1,0,null,0.9285,191,4,5,41.18,10,null,null,7,11,null,null,3,3,12,3,3,1,null,4,null,8,null,1,122.5,-139.25,-12.7,6.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,Sursis (8sem.)
Salisu Mohammed,DC,5,-4,,13,19.63,7.48,12,14,12,12,12,15,11,13,0,0,4.59,0,0,0,11,0,0,0.8,0,0,0,0,0,0.91,0,0,981,0,0,89.18,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,5.5,4,5.5,5.5,4.5,3.5,4,3.5,4.5,5.5,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,† Pubalgie (5sem.)
Golovin Aleksandr,MO,17,2,,31,98.32,78.69,30,36,31,35,30,38,31,38,6.19,7,06.08,589.25,8,2,31,1.19,1.41,0.99,4,2,11,1,1,0.9,688,163,2414,86,81.5,77.87,172,219,7,4.25,8,6,0,6,7,7.5,5,5,5,0,4.5,5,5,7,5,0,7,5.5,6.5,0,5.5,5.5,5,7,7,7,5.5,6,6,5,7,6,6,8,7,0,0,0,3,,1,2,1,null,13,9,10,0.798,469,2,5,47.44,11,null,null,9,21,10,7,2,8,112,11,11,10,null,4,null,10,1,12,237.75,-93.31,1.46,5.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Minamino Takumi,MO,13,-1,,38,99.07,91.78,37,45,32,40,40,47,39,46,6.25,5.5,5.71,600.63,8,2,19,1.39,0.71,1.17,3,0,3,0.88,0.5,0.74,611,96,1135,76.38,48,59.74,204,378,7,4.33,6,5,0,5,4.5,7.5,7,8.5,6.5,4.5,0,0,4.5,5,0,5.5,0,0,0,5.5,5.5,0,0,0,5,5.5,0,0,0,0,0,5.5,0,7.5,4.5,0,0,0,2,,null,1,3,3,17,14,5,0.7497,388,3,8,47.76,8,null,null,10,14,4,4,2,7,96,8,8,6,null,4,null,10,1,21,229.44,-77.75,0.51,4.50,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Akliouche Maghnes,MO,11,3,,13,21.12,7.66,11,15,12,16,11,11,11,15,5.57,6.17,5.18,568.86,7,3,14,1.17,1.61,0.95,3,2,3,0.14,0.33,0.29,172,128,400,24.57,42.67,28.57,57,133,6,3.67,5.5,5,8,0,4.5,5,0,5,6,5,0,4.5,5,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5.5,0,0,0,null,,null,null,1,null,8,7,2,0.8168,141,1,1,37.14,6,null,null,2,6,4,3,null,3,27,5,5,7,null,6,null,12,1,3,120.29,-52.29,1.66,5.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Fofana Youssouf,MD,13,2,,17,78.32,28.79,15,20,18,23,15,18,14,20,5.67,5.67,5.46,546.33,9,9,34,0.94,0.94,1.1,0,0,1,1,1,0.97,784,784,2977,87.11,87.11,87.56,,2977,6,1000,6,7,5.5,4.5,6,6,4,6.5,5.5,5.5,6,5,6,7,2,4.5,5.5,0,6,6,5.5,3.5,4,6,6,6.5,5.5,7,6,5,5,3.5,5,6.5,6,0,0,0,3,,null,null,2,2,18,10,1,0.8265,685,7,12,49.25,10,null,null,20,35,2,2,5,9,129,13,13,12,null,5,null,11,4,15,234.06,-148.83,-21.92,6.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Zakaria Denis,MD,14,3,,16,50.65,9.91,15,19,17,20,15,18,15,17,5.64,0,5.35,516.29,7,0,13,0.9,0,0.8,0,0,0,0.86,0,0.77,546,0,903,78,0,69.46,,,null,1000,0,7,5.5,5,6.5,5,4.5,6,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5.5,0,0,0,0,0,5,5,5.5,0,0,0,0,0,0,0,2,,null,null,null,null,2,1,1,0.9217,421,14,7,60.98,4,null,null,25,25,1,1,9,6,35,2,2,2,null,3,null,8,null,8,172,-89.64,-1.76,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Camara Mohamed,MD,10,-1,,15,76.45,23.74,13,17,15,16,14,17,13,18,5.5,5.13,5.32,505.63,8,4,28,0.93,0.63,01.04,0,0,0,0.75,0.5,0.86,406,128,1983,50.75,32,70.82,,,null,1000,5,5,4.5,6,0,7,4.5,6.5,5.5,6,4.5,5,0,4,3.5,4,6,5,4.5,7,0,0,4.5,0,6,6.5,4,0,4.5,6,6,5,5.5,7.5,0,0,0,0,2.5,,null,null,null,null,8,5,1,0.8368,383,6,7,48.21,9,null,null,11,16,null,null,null,4,35,7,7,5,null,5,null,11,1,4,138.5,-71.62,-5.32,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Matazo Eliot,MD,10,1,,10,2.43,1.12,10,12,10,10,12,12,10,10,5,0,05.07,501,6,0,23,0.77,0,0.51,0,0,1,0,0,0.43,98,0,1005,16.33,0,43.7,,1005,6,1000,0,0,4.5,4.5,5,5,0,4.5,6.5,0,5,4.5,5.5,5.5,5,5,5,6,5,0,5.5,5,0,5,5,0,0,4.5,5,0,0,4.5,0,0,5.5,0,0,0,null,,null,null,1,1,1,1,1,0.8273,80,3,1,50,5,null,null,4,8,1,1,null,3,16,2,2,1,null,3,null,8,null,2,62.33,-36.33,-3.23,5.50,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,Sursis
Diop Edan,MD,1,0,,2,3.55,1.68,1,2,2,3,1,2,2,2,5,5,5,513,1,1,8,0,0,0.53,0,0,1,0,0,0.13,1,1,220,1,1,27.5,,220,6,1000,5,0,0,0,0,0,0,0,0,5.5,0,0,0,4.5,4.5,5,0,0,6,0,0,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,1,7,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,null,1,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Ben Seghir Eliesse,MD,1,-2,,5,31.78,16.07,4,7,4,4,3,5,4,9,5,5,5.13,509,1,1,20,0,0,0.99,0,0,4,0,0,0.65,11,11,1072,11,11,53.6,,268,6,1000,5,0,0,0,0,0,0,0,0,4,5,5,5,5,4.5,0,5,5.5,6,5.5,0,0,3,4.5,7,0,6,4.5,5,5,4.5,7.5,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,1,12,null,null,,null,null,null,null,null,1,null,null,null,1,null,null,null,null,1,null,1,null,null,7,-5.5,-1.4,5.00,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Diatta Krépin,MO,10,2,,10,08.04,0.93,10,10,10,10,10,12,10,10,4.94,5,5.31,514.5,8,3,29,0.18,0,0.93,0,0,3,0.25,0.67,0.59,255,195,1573,31.88,65,54.24,,524,6,1000,5,5,5,0,5,4.5,5,5,5,0,5.5,4.5,0,5,4.5,3.5,7,5.5,0,6,5,4.5,4.5,5,7,6.5,0,5.5,8,5.5,6,0,6,5,4.5,0,0,0,1,,null,null,null,null,3,0,1,0.8123,254,3,5,53.7,7,null,null,12,13,2,2,4,2,51,2,2,3,null,6,null,12,null,5,84.44,-73.56,-7.57,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Magassa Soungoutou,MD,8,2,,8,42.06,20,8,8,8,8,8,8,8,9,4.88,0,4.89,536.5,8,0,9,0.64,0,0.6,0,0,0,1,0,0.89,669,0,676,83.63,0,75.11,,,null,1000,0,5,4.5,4,4.5,5,4.5,6,5.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,null,null,null,null,4,2,null,0.8273,583,10,12,56.58,14,null,null,33,25,1,1,18,9,88,1,1,2,null,4,null,10,null,13,156.63,-166.12,-17.35,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Gelson Martins,MO,1,0,,1,8.79,2.8,1,1,1,1,1,1,1,1,0,0,4.93,0,0,0,7,0,0,0.53,0,0,0,0,0,0.29,0,0,232,0,0,33.14,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4.5,6,4.5,0,5,5,4.5,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,🏠Ecarté (4sem.)
Bamba Mohamed,MD,1,0,,,0.19,,1,1,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,🏠Hors groupe
Ben Yedder Wissam,A,29,-2,,70,99.25,91.96,71,88,66,81,80,91,63,86,5.78,5.78,5.61,556.56,9,9,31,1.35,1.35,1.44,5,5,19,0.89,0.89,0.87,701,701,2195,77.89,77.89,70.81,140,116,5,5.8,4.5,7,5,4.5,4.5,5,6.5,7,8,6,4.5,6.5,0,0,3,3,7,5,4.5,6.5,4,7,4,6,8.5,0,7,4,8,6,0,5,6,5,5.5,0,0,0,3,,null,null,null,null,16,11,7,0.7688,294,3,3,37.04,4,null,null,3,5,2,null,null,9,76,12,12,10,null,5,null,11,2,5,141.61,-29.83,16.17,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Balogun Folarin,A,22,4,,51,97.38,81.68,50,66,55,75,51,66,46,59,05.08,05.08,5.34,545.83,6,6,31,1.86,1.86,1.47,3,3,17,0.67,0.67,0.9,361,361,2502,60.17,60.17,80.71,120,147,4,7.33,5,6,7,2,6.5,4,0,0,0,6,4,6,6,6,4.5,5,3.5,4,7,6,7,4,5.5,3,6,5,8.5,6.5,3.5,5,0,8,4.5,6,4.5,0,0,0,1.5,,null,null,1,2,14,12,2,0.8243,167,2,1,30.36,8,null,null,1,8,2,2,1,4,58,8,8,11,null,3,null,6,3,18,132.85,-79.98,13.37,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Boadu Myron,A,7,0,,8,28.22,4.3,7,9,7,8,8,9,7,8,4.8,4.5,4.66,492.8,5,1,16,0.67,0,0.7,1,0,3,0,0,0.19,15,1,286,3,1,17.88,15,95,6,7,4.5,0,4.5,4.5,0,0,6,0,4.5,0,0,0,4.5,6,0,4,4.5,0,0,0,4.5,4.5,4,6,0,0,0,0,4.5,4,4,0,0,0,0,0,0,0,null,,null,null,null,null,1,1,null,0.2857,11,null,1,28.57,2,null,null,null,1,null,null,null,null,5,null,null,null,null,2,null,3,null,1,27.8,-3.4,6,4.50,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Embolo Breel,A,1,0,,3,18.13,4.67,1,3,4,5,1,2,1,3,0,0,5.13,0,0,0,20,0,0,01.12,0,0,7,0,0,0.4,0,0,917,0,0,45.85,,131,6,1000,0,0,0,0,0,0,0,0,0,5.5,4,5,4.5,0,0,0,0,0,0,5,4,4.5,4,5,5.5,7,6,4,7,6,4,4,4,7,6.5,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.50,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,† Lig croisés (5sem.)
Efekele Malamine,A,1,0,,2,1.87,0.37,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,
Etonde Romaric,A,1,0,,2,0.75,0.19,2,2,,,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,AS Monaco,LOSC,dim. 29/10 15:00,35.46099290780142,0.5808,0.56519,0.57258,🏠Hors groupe
Bizot Marco,G,18,2,,20,73.64,48.41,18,22,20,26,20,22,18,18,5.83,5.83,5.68,537.67,9,9,34,0.83,0.83,1.16,0,0,0,1,1,1,810,810,3060,90,90,90,,,null,1000,5.5,5.5,6,6.5,6.5,6.5,5.5,6.5,4,4.5,6,5,6,4,7.5,6,7.5,6.5,5.5,5,4.5,7,3,4,4.5,5,8,6,6,6.5,6,4,5.5,7,0,0,0,0,3,,null,null,null,null,0,0,null,,null,null,null,,null,17,11,null,null,null,null,null,8,null,null,null,null,15,2,null,1,null,null,124.78,-36.11,4.87,4.50,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,
Coudert Grégoire,G,7,0,,8,18.32,11.96,7,8,8,8,7,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,
Lala Kenny,DL,16,3,,17,95.89,73.08,16,19,16,20,16,19,16,18,5.56,5.56,5.37,533.67,9,9,26,0.81,0.81,0.81,1,1,1,1,1,0.96,810,810,2229,90,90,85.73,810,2229,6.5,16,5.5,5,6,7,5,5.5,4.5,5,6.5,5,5.5,5,5.5,5.5,7,0,6.5,4,5.5,0,0,0,5.5,4.5,3.5,5.5,5,5.5,5,5.5,0,0,0,0,0,0,0,0,2,,null,null,1,2,7,7,8,0.8053,623,11,18,55.26,9,null,null,42,31,45,36,16,8,105,8,8,1,null,2,1,1,null,9,233.44,-177.56,-10.47,0,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,
Brassier Lilian,DC,13,0,,15,77.76,20,14,16,14,15,14,16,14,18,5.31,0,5.18,540.13,8,0,33,0.84,0,0.79,1,0,1,1,0,0.97,699,0,2861,87.38,0,86.7,699,2861,6.5,13,0,5,6,6,5.5,5,4,6.5,4.5,5.5,6,5.5,5.5,4,6,5,5.5,6,6,4.5,4.5,5.5,4.5,4,3.5,5,6,5.5,5.5,5,0,3.5,5.5,5,6,0,0,0,2,,null,null,null,1,5,1,2,0.7878,462,12,4,65.31,8,null,null,30,24,1,1,23,7,89,1,1,2,null,3,null,2,null,4,157.88,-124.62,-10.69,4.50,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,
Chardonnet Brendan,DC,13,2,,15,60.56,14.58,13,16,13,16,13,15,15,18,5.17,5.17,5.23,528.11,9,9,28,0.71,0.71,0.81,0,0,0,1,1,0.93,810,810,2354,90,90,84.07,,,null,1000,5,5,5.5,6.5,5.5,5,4,5.5,4.5,5,5.5,6,6,4,6,6,6,7,5,5.5,0,5,0,0,0,0,0,0,4.5,5,5,3,5,5,5.5,0,0,0,2,,null,null,null,1,3,3,2,0.8137,506,7,5,57.14,10,null,null,26,22,4,2,25,8,84,4,4,null,null,2,null,1,null,6,135.56,-122.67,-11.99,0,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,Sursis (4sem.)
Locko Bradley,DL,10,2,,10,50.65,25.79,10,10,10,10,10,10,10,11,5.17,5.17,5.13,531.44,9,9,19,0.61,0.61,0.47,0,0,0,1,1,0.63,810,810,1176,90,90,61.89,,,null,1000,5,5,5.5,5.5,5.5,5.5,4.5,6,4,5,0,0,0,5,0,0,5,6,0,0,0,5,5,0,5,0,0,0,5,0,0,0,5,0,5,0,0,0,2,,null,null,1,2,2,2,4,0.8047,635,13,19,57.36,10,null,null,30,22,25,13,10,8,125,6,6,11,null,2,null,1,null,17,203.06,-189.17,-17.71,0,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,
Dari Achraf,DC,6,0,,7,3.93,0.93,6,8,7,7,6,7,8,9,5,4.5,05.05,506,3,1,11,0.5,0,0.57,0,0,0,0.33,1,0.73,112,90,708,37.33,90,64.36,,,null,1000,4.5,0,0,0,5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5,5.5,5,5,4,5.5,0,6,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.6103,102,4,1,55.56,2,null,null,4,5,null,null,9,1,13,null,null,null,null,null,1,null,null,2,71.17,-80,-1.9,5.00,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,
Le Cardinal Julien,DL,5,0,,6,1.87,0.75,5,6,5,5,5,6,5,5,4.67,0,4.92,490.33,3,0,13,0.58,0,0.4,0,0,0,0,0,0.31,59,0,400,19.67,0,30.77,,,null,1000,0,0,5,0,0,0,4,0,5,5,0,5,0,0,0,5,0,0,0,0,0,0,5,0,4.5,5.5,0,0,5,0,0,5,4.5,5.5,0,0,0,0,null,,null,null,null,null,0,0,null,0.9259,46,null,3,55.56,2,null,null,2,4,5,5,null,2,5,null,null,null,null,-2,null,-3,null,null,58.33,-108.33,-7.23,0,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,
Amavi Jordan,DL,1,-2,,4,11.78,05.05,3,4,3,3,3,4,4,5,0,0,4.5,0,0,0,3,0,0,0.5,0,0,0,0,0,0.33,0,0,133,0,0,44.33,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,4,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,
Lees-Melou Pierre,MO,23,5,,26,95.14,69.16,25,31,30,35,24,28,23,27,6.39,6.39,6.31,536.44,9,9,31,0.65,0.65,0.87,1,1,4,1,1,1,810,810,2790,90,90,90,810,698,6,23,6,7,6,7.5,7,6.5,5.5,6,6,5,7,8,6,5.5,6,6.5,0,8,7,6,6,7,5.5,5,4.5,7,0,8,6,6,6,0,6,6,0,0,0,0,2,,null,1,null,1,17,15,7,0.8337,662,15,21,55.2,13,null,null,40,42,14,14,23,8,96,6,6,2,null,2,null,1,null,11,288.22,-146.67,-8.01,6.00,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,Sursis
Camara Mahdi,MD,14,2,,15,61.5,8.79,14,16,14,15,14,14,14,17,5.81,0,5.61,514.88,8,0,32,0.65,0,0.8,1,0,3,0.88,0,0.72,499,0,1974,62.38,0,61.69,499,658,6.5,14,0,5,5.5,6,7,6,6,5,6,5.5,7,4.5,5.5,5,6,6,5,6,6.5,6,0,0,4,6,4,5,6,7.5,6,5.5,5.5,4.5,5.5,5,5.5,0,0,0,2,,null,null,null,1,11,8,5,0.8419,250,9,10,46.67,10,null,null,3,21,8,6,3,5,46,7,7,4,null,3,null,2,1,9,141.69,-58.62,-1,0,Brest,Paris,dim. 29/10 13:00,18.51851851851852,0.45874,0.46072,0.46835,
