Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Descamps Rémy,G,7,-4,,14,53.83,32.15,12,16,14,18,13,15,12,17,6.1,0,06.08,559.8,5,0,6,0.96,0,0.86,0,0,0,1,0,1,450,0,540,90,0,90,,,null,1000,0,0,0,5.5,6.5,7.5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,,null,null,null,null,0,0,null,,null,null,null,,null,17,9,null,null,null,null,null,9,null,null,null,null,15,1,null,1,null,null,188.6,-73,1.66,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Lafont Alban,G,13,0,,17,62.8,33.46,15,20,15,16,16,20,16,22,5.88,5.83,5.72,545.75,4,3,29,1.65,02.02,1.4,0,0,0,1,1,1,337,270,2587,84.25,90,89.21,,,null,1000,8,5.5,4,0,0,0,0,0,6,6,4,4,8,5,3,5,4.5,7,5,7,6,6,5,4,7,6,4,6,7,7,7.5,6,4.5,8,0,0,0,0,1,,null,null,null,null,0,0,null,,null,null,null,,null,10,3,null,null,null,null,null,3,null,null,null,null,7,null,null,null,null,null,127.25,-47.5,13.35,4.00,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Petric Denis,G,3,0,,3,5.23,02.06,3,3,4,4,3,3,3,3,4,0,4,499,1,0,1,0,0,0,0,0,0,0,0,0,23,0,23,23,0,23,,,null,1000,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,1,null,null,null,null,null,-1,null,-1,null,null,null,-40,-28.8,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Barbet Hugo,G,1,0,,1,6.73,4.86,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,🏠Hors groupe (4sem.)
Bonelli Lucas,G,1,0,,1,6.36,4.86,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,🏠Hors groupe (4sem.)
Cömert Eray,DC,13,3,,14,92.15,63.36,13,15,13,17,13,15,13,15,5.67,5.67,5.19,565.17,6,6,21,0.61,0.61,0.78,1,1,1,1,1,0.86,540,540,1612,90,90,76.76,540,1612,6,13,6,6,4.5,6,5.5,6,0,0,0,0,0,0,6.5,0,0,4.5,0,5,0,0,0,3.5,0,5,5.5,0,4,4.5,5,0,5,5,4.5,6,6,5,0,0,1,,null,null,null,null,2,1,null,0.8954,391,10,6,57.58,3,null,null,22,16,null,null,36,6,34,null,null,null,null,3,null,4,null,2,184.08,-112.67,-4.93,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Castelletto Jean-Charles,DC,9,1,,10,53.27,20.37,9,11,9,9,9,12,9,10,4.86,0,4.96,537,7,0,28,1.11,0,0.92,1,0,1,1,0,1,630,0,2450,90,0,87.5,630,2450,6,9,0,5.5,3,4.5,6,5,6,4,0,6,5,3,5,4,4,5.5,5,4.5,0,5,0,3.5,4.5,0,5,6.5,0,6,5.5,5.5,6,4.5,5.5,5.5,0,0,0,0,1,,null,null,null,null,2,2,1,0.8418,359,8,2,55.56,10,null,null,26,9,1,1,30,11,52,2,2,2,null,1,null,null,null,2,163.93,-175,-17.86,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Duverne Jean-Kévin,DC,11,0,,13,25.98,2.99,11,12,16,18,11,12,11,12,4.9,4.9,4.88,534.6,5,5,28,0.74,0.74,0.65,0,0,0,0.8,0.8,0.82,376,376,2056,75.2,75.2,73.43,,,null,1000,6,5,4,5,4.5,0,0,0,0,4,5,6,6,4,5,4.5,5,5,5,4.5,4.5,5.5,5,5,0,0,6,5,0,4,5,3.5,5,4.5,5,0,0,0,1,,null,null,null,null,1,0,null,0.7444,288,4,8,53.33,6,null,null,15,8,4,2,13,4,54,1,1,5,null,3,null,4,1,6,135.4,-161.9,-14.14,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Pierre-Gabriel Ronaël,DL,9,2,,9,19.63,08.04,9,9,9,9,9,9,9,9,4.83,4.83,4.79,517.67,9,9,21,0.87,0.87,0.86,0,0,1,0.56,0.56,0.48,475,475,930,52.78,52.78,44.29,,930,6.5,1000,5,5,5,5,6,6,4,4,3.5,6.5,0,0,0,0,0,0,0,0,5,0,5,0,5,4,5,5,0,3,0,0,5,0,5,3.5,5,0,0,0,1,,null,null,null,null,4,2,1,0.7335,291,7,9,65.12,3,null,null,9,3,5,4,21,10,52,1,1,3,null,1,null,1,null,5,80.28,-104.94,-12.67,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Hadjam Jaouen,DL,5,-2,,13,1.12,0.93,13,16,13,13,18,19,8,9,4.83,5,4.95,487,3,1,19,0.29,0,0.66,0,0,0,0,0,0.47,40,1,958,13.33,1,50.42,,,null,1000,5,0,0,0,0,0,5,0,4.5,5.5,0,0,0,4.5,5,0,6,0,0,5,4.5,3,5.5,5,6,5,5,5,4.5,4.5,5.5,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.819,34,null,1,33.33,1,null,null,2,1,3,2,1,3,7,null,null,1,null,null,null,1,null,1,21.5,-59.33,-8.73,5.00,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
