Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Raya David,G,14,7,,16,73.58,56.6,16,20,16,19,17,22,14,14,5.36,5.36,5.85,525.43,7,7,30,0.75,0.75,0.98,0,0,0,1,1,1,630,630,2700,90,90,90,,,null,1000,4,5.5,5,6,6,5,6,0,0,0,0,6,7.5,7,5.5,5,7,4.5,6,4,7,4.5,5.5,5.5,5,5.5,6,7,7,6,6,7.5,6,7,0,0,0,0,4,,null,null,null,null,0,0,null,,null,null,null,,null,5,3,null,null,null,null,null,4,null,null,null,null,5,3,null,10,null,null,77.14,-32.14,-3.21,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
Ramsdale Aaron,G,7,-9,,13,54.72,41.51,10,16,7,8,16,16,20,20,5,0,5.21,396.75,4,0,28,0.82,0,01.08,0,0,0,1,0,1,360,0,2520,90,0,90,,,null,1000,0,0,0,0,0,0,0,5,4,6,5,5,4.5,4,7,6,4,3,4.5,6,6,6,6,5,5,5.5,4.5,4.5,4,8,5.5,6,6,6,0,0,0,4,1,,null,null,null,null,0,0,null,,null,null,null,,null,4,1,null,null,null,null,null,4,null,null,null,null,3,3,null,4,null,null,64,-32.5,-9.32,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
Hein Karl,G,3,2,,3,7.55,5.66,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
White Ben,DC,13,3,,16,98.11,79.25,15,19,16,20,13,18,13,13,5.41,5.41,5.24,498.27,11,11,35,0.74,0.74,0.93,1,1,3,1,1,0.94,949,949,2859,86.27,86.27,81.69,949,953,6,13,4.5,5.5,5,6,7,5,6,5.5,5,5.5,4.5,5.5,5,3,6,5.5,2.5,4.5,5.5,5,6,6,5,6.5,5,4.5,5,4,5,6,5,6,7,5.5,0,0,0,5,5,,null,null,null,1,4,4,3,0.8527,881,9,10,54.9,6,null,null,19,18,15,9,22,8,127,10,10,3,null,6,null,14,null,8,152.09,-112.05,-14.74,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
Tomiyasu Takehiro,DL,8,1,,9,9.43,7.55,8,10,10,10,9,9,8,8,5.11,5.3,4.92,447.89,9,5,19,0.55,0.67,0.71,1,1,1,0.22,0.2,0.21,326,195,574,36.22,39,30.21,326,574,6.5,8,5,6.5,5,5,5,0,5,5,0,4.5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,5,5.5,5,5,4.5,0,0,0,0,0,2.5,1,,null,null,null,null,6,3,3,0.8525,254,5,1,50,3,null,null,11,6,2,2,9,3,42,null,null,1,null,6,null,14,null,2,67,-61.94,-6.23,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
Saliba William,DC,17,1,,25,96.23,56.6,25,30,22,26,26,34,30,30,5.45,5.45,5.33,487.45,11,11,24,0.72,0.72,0.75,0,0,0,1,1,1,990,990,2160,90,90,90,,,null,1000,4.5,6,4.5,6,6,5,5.5,5.5,4.5,6.5,6,0,0,0,0,0,0,0,0,0,0,0,6.5,5.5,5.5,5.5,4,5,5.5,6,5.5,5,5,5.5,0,0,0,3.5,5,,null,null,1,null,2,2,1,0.9319,988,8,3,55.1,3,null,null,30,34,null,null,21,8,71,2,2,2,null,6,null,14,null,7,133.59,-87.82,-7.23,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
Zinchenko Oleksandr,DL,13,2,,14,64.15,20.75,13,16,18,20,13,13,13,13,5.4,5.4,5.25,527.5,10,10,30,0.74,0.74,0.92,0,0,1,0.7,0.7,0.87,577,577,2153,57.7,57.7,71.77,,2153,7,1000,5,5.5,4.5,6,6.5,4.5,6.5,5.5,5,5,0,0,0,0,6,5.5,3,3.5,0,5,4.5,6,6,5.5,6,7,5.5,4,4.5,6,5,6,5.5,5,0,0,0,4,4,,null,null,null,1,9,8,7,0.9012,580,7,10,64.1,2,null,null,23,15,13,13,3,4,61,9,9,4,null,5,null,13,null,1,123.25,-78,-6.31,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
Gabriel Magalhães,DC,16,-1,,18,54.72,16.98,17,17,17,19,17,17,17,17,5.39,5.5,5.26,475.33,9,1,33,0.49,0,0.87,0,0,1,0.78,1,0.94,654,90,2805,72.67,90,85,,2805,7,1000,5.5,0,5.5,5.5,6,4.5,5.5,6,0,5,5,6,5,3,6,5,2.5,4.5,5.5,5.5,6,5.5,7,5,6,5,5.5,5,5,5.5,5.5,5,6,6,0,0,0,4,3,,null,null,null,null,3,2,1,0.8754,517,11,5,61.11,9,null,null,17,7,1,1,11,5,55,null,null,null,null,5,null,9,null,3,115.44,-78.11,-7.96,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
Kiwior Jakub,DC,3,-4,,4,13.21,7.55,4,4,4,4,7,7,8,8,5.17,0,5.29,541,3,0,14,0.76,0,01.01,0,0,1,0.67,0,0.79,181,0,911,60.33,0,65.07,,911,7.5,1000,0,6,0,0,0,0,0,0,4.5,5,0,7.5,4.5,3.5,6,5.5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,6,4,6,5.5,0,0,1,,null,null,null,null,1,1,1,0.9183,169,null,2,37.5,2,null,null,4,3,2,2,7,2,19,null,null,null,null,2,null,6,1,1,86.83,-77.67,-11.13,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
Timber Jurriën,DC,1,0,,1,11.32,9.43,1,1,1,1,1,1,1,1,5,0,5,0,1,0,1,0,0,0,0,0,0,1,0,1,50,0,50,50,0,50,,,null,1000,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.8889,51,null,1,50,2,null,null,1,1,null,null,1,null,5,null,null,null,null,1,null,1,null,null,51,-63.5,-6.3,0,Arsenal,Burnley,sam. 11/11 16:00,86.20689655172414,0.69749,0.70901,0.6946
