Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Guevara Ander,MD,9,-1,,10,6.25,02.08,10,10,11,11,,,10,10,4.8,4.8,5,325.4,10,10,16,0.35,0.35,0.41,0,0,0,1,1,0.69,883,883,1028,88.3,88.3,64.25,,,null,1000,5,5,4.5,4.5,5,4.5,5.5,5,4.5,4.5,5,0,0,0,0,0,0,0,0,0,5.5,0,5.5,0,0,0,0,0,0,0,0,0,5.5,0,5.5,5,0,0,3,,null,null,null,null,5,3,null,0.7452,596,2,11,46.23,20,null,null,24,50,4,2,9,10,146,8,8,10,null,-3,null,-6,null,8,153.3,-160.4,-19.86,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Benavídez Carlos,MD,9,2,,9,02.08,02.08,9,9,,,,,9,9,4.79,0,4.79,266.43,7,0,7,0.27,0,0.27,0,0,0,0.43,0,0.43,297,0,297,42.43,0,42.43,,,null,1000,0,5,5,0,4.5,0,4.5,5,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,null,1,0,null,0.679,177,7,9,60,10,null,null,10,9,3,3,3,4,54,1,1,null,null,-2,null,-4,null,3,92.14,-90.43,-10.13,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Alkain Xeber,MO,8,1,,8,02.08,02.08,8,8,8,8,,,8,8,4.63,4.7,4.63,346.25,8,5,8,0.52,0.27,0.52,0,0,0,0.38,0,0.38,271,52,271,33.88,10.4,33.88,,,null,1000,4.5,4.5,5,4.5,5,0,5,3.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,null,null,null,1,5,1,3,0.674,125,1,4,27.27,9,null,null,4,6,12,9,2,3,34,5,5,4,null,-1,null,-3,1,6,48.51,-39.92,-1.64,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Rebbach Abderrahmane,MO,8,2,,8,02.08,02.08,8,8,,,,,8,8,4.57,4.5,4.57,327.29,7,2,7,0.19,0,0.19,0,0,0,0.14,0,0.14,146,5,146,20.86,2.5,20.86,,,null,1000,4.5,4.5,0,4.5,5,4.5,0,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,1,3,1,2,0.6429,86,1,1,36.84,2,null,null,3,5,9,9,1,3,24,5,5,1,null,-4,null,-6,1,8,35.27,-29.46,-1.09,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Samu,A,10,3,,10,16.67,4.17,10,10,10,10,10,10,10,10,4.94,4.75,4.94,364.22,9,8,9,1.31,1.25,1.31,3,2,3,0.33,0.25,0.33,381,300,381,42.33,37.5,42.33,127,127,6.5,3.33,6.5,4,4.5,7,4,4,4,4,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,2,19,12,3,0.7546,153,null,2,32.79,8,null,null,1,8,null,null,3,6,48,8,8,7,null,-4,null,-8,7,15,82.54,-38.56,9.27,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Kike García,A,9,-1,,17,70.83,20.83,16,18,10,10,17,18,15,22,4.8,4.8,4.51,313.5,10,10,34,1.21,1.21,0.72,2,2,2,0.7,0.7,0.32,576,576,1216,57.6,57.6,35.76,288,608,8,4.5,4.5,5,5,4.5,4.5,4,3.5,4.5,8,4.5,0,4.5,4.5,4.5,0,4.5,4,0,4.5,4,4.5,4.5,4,4,5,5,4.5,5,4,4,4.5,4.5,4,4.5,4,4,5,0,2.5,,null,null,null,1,24,13,2,0.6161,242,null,1,53.41,8,null,null,3,9,2,1,5,6,83,6,6,8,null,-3,null,-6,6,28,87.99,-53.62,4.87,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Rioja Luis,A,13,0,,20,89.58,52.08,16,25,25,25,21,28,13,18,5.7,5.7,5.7,350.5,10,10,10,1.14,1.14,1.14,1,1,1,0.9,0.9,0.9,810,810,810,81,81,81,810,810,8,13,6.5,6.5,5.5,4.5,5,4.5,6.5,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,null,1,2,4,24,19,4,0.7253,380,4,10,58.06,7,null,null,19,22,44,35,9,8,97,13,13,2,null,-3,null,-6,1,17,185.84,-88.92,1.41,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Karrikaburu Jon,A,4,1,,4,02.08,02.08,4,4,6,7,,,4,4,4.25,0,4.33,438.5,2,0,3,0.35,0,0.29,0,0,0,0,0,0,14,0,19,7,0,6.33,,,null,1000,0,0,4,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,null,,null,null,null,null,0,0,null,0.25,8,null,null,,1,null,null,null,2,null,null,null,1,5,null,null,null,null,-2,null,-4,null,2,3,-7.1,-0.75,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Simeone Giuliano,A,1,-2,,3,02.08,02.08,3,3,12,14,10,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Alavés,Atlético,dim. 29/10 21:00,12.658227848101264,0.34472,0.33359,0.33294
Luís Maximiano,G,14,1,,14,35.42,10.42,14,14,14,14,20,20,14,14,4.63,0,4.63,410.63,8,0,8,1.13,0,1.13,0,0,0,1,0,1,720,0,720,90,0,90,,,null,1000,0,6,5.5,3,5,4.5,4.5,5.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,21,7,null,null,null,null,null,21,null,null,null,null,18,-5,1,-11,null,null,137.31,-151.87,-49.89,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
