Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Maras Nikola,DC,1,-4,,,,,5,5,,,8,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Joseda Álvarez,DL,1,0,,1,2.38,2.38,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Guevara Ander,MD,9,-1,,,7.14,,10,10,11,11,,,10,10,05.04,05.04,5.15,366.5,12,12,17,0.66,0.66,0.58,1,1,1,1,1,0.76,1063,1063,1200,88.58,88.58,70.59,1063,1200,6.5,9,6,6.5,5,5,4.5,4.5,5,4.5,5.5,5,4.5,4.5,5,0,0,0,0,0,0,0,0,0,5.5,0,5.5,0,0,0,0,0,0,0,0,0,5.5,0,5.5,0,4,,null,1,null,null,9,5,1,0.7516,731,6,16,49.19,22,null,null,29,60,4,2,13,12,171,9,9,11,null,-3,null,-6,null,9,170.38,-152.96,-18.8,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Guridi Jon,MO,11,1,,14,30.95,7.14,12,16,12,16,,,11,11,5.36,5.5,5.36,362.55,11,4,11,0.5,0.71,0.5,0,0,0,0.91,1,0.91,858,333,858,78,83.25,78,,,null,1000,5,5,6.5,5.5,0,5,5,5,5.5,5.5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,null,null,3,2,15,6,4,0.804,414,4,7,43.18,4,null,null,16,26,10,8,3,9,86,15,15,12,null,-2,null,-4,1,7,126.86,-73.28,-3.49,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Hagi Ianis,MO,10,2,,10,7.14,2.38,10,10,10,10,,,10,10,5.25,5.5,5.25,500.5,8,2,8,0.53,0.71,0.53,0,0,0,0.63,0.5,0.63,388,95,388,48.5,47.5,48.5,,,null,1000,5,6,0,6,5.5,5,4.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,null,null,1,1,15,5,1,0.6457,223,1,7,56.52,6,null,null,3,6,17,12,2,5,49,13,13,6,null,-2,null,-5,3,4,110.38,-75.12,-1.45,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Blanco Antonio,MD,8,-1,,,,,9,9,9,10,,,9,9,5.1,5.67,5.1,333.6,10,3,10,0.81,0.76,0.81,0,0,0,0.7,1,0.7,594,264,594,59.4,88,59.4,,,null,1000,5.5,5,6.5,0,3.5,5.5,0,5.5,5,5.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,null,null,null,null,11,7,3,0.784,359,6,13,60.29,6,null,null,16,26,4,2,6,6,71,7,7,5,null,-2,null,-4,null,6,118.1,-95.5,-8.29,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Benavídez Carlos,MD,9,2,,,,,9,9,,,,,9,9,4.81,0,4.81,289.75,8,0,8,0.26,0,0.26,0,0,0,0.38,0,0.38,303,0,303,37.88,0,37.88,,,null,1000,0,5,0,5,5,0,4.5,0,4.5,5,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,null,1,0,null,0.6879,191,7,10,60.61,10,null,null,10,9,3,3,3,4,57,1,1,null,null,-3,null,-5,null,3,81.94,-81,-9.46,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Alkain Xeber,MO,8,1,,,,,8,8,8,8,,,8,8,4.63,0,4.63,346.25,8,0,8,0.52,0,0.52,0,0,0,0.38,0,0.38,271,0,271,33.88,0,33.88,,,null,1000,0,0,4.5,4.5,5,4.5,5,0,5,3.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,null,null,null,1,5,1,3,0.674,125,1,4,27.27,9,null,null,4,6,12,9,2,3,34,5,5,4,null,-1,null,-3,1,6,48.51,-39.92,-1.64,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Rebbach Abderrahmane,MO,8,2,,,,,8,8,,,,,8,8,4.61,4.63,4.61,358,9,4,9,0.22,0.25,0.22,0,0,0,0.11,0,0.11,195,54,195,21.67,13.5,21.67,,,null,1000,5,4.5,4.5,4.5,0,4.5,5,4.5,0,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,1,3,1,4,0.7063,122,1,2,41.38,3,null,null,3,6,14,13,1,3,32,8,8,3,null,-4,null,-6,1,9,37.82,-28.58,-1.04,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Samu,A,10,3,,12,47.62,16.67,12,14,12,14,10,10,10,10,4.86,4.7,4.86,381.73,11,10,11,1.21,1.14,1.21,3,2,3,0.36,0.3,0.36,476,395,476,43.27,39.5,43.27,159,159,6.5,3.33,5,4,6.5,4,4.5,7,4,4,4,4,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,2,22,15,6,0.7689,186,1,2,30.67,8,null,null,1,8,null,null,3,8,58,8,8,8,null,-4,null,-8,7,20,72.23,-37.64,7.35,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Kike García,A,9,-1,,11,47.62,7.14,12,12,10,11,12,12,27,32,4.83,4.83,4.54,337.08,12,12,34,01.11,1.11,0.73,2,2,2,0.67,0.67,0.35,661,661,1271,55.08,55.08,37.38,331,636,8,4.5,5.5,4.5,4.5,5,5,4.5,4.5,4,3.5,4.5,8,4.5,0,4.5,4.5,4.5,0,4.5,4,0,4.5,4,4.5,4.5,4,4,5,5,4.5,5,4,4,4.5,4.5,4,4.5,4,0,3.5,,null,null,null,1,28,14,3,0.6426,270,null,1,53.06,8,null,null,4,11,2,1,7,6,92,8,8,10,null,-3,null,-6,7,31,84.12,-50.72,3.8,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Rioja Luis,A,13,0,,21,71.43,28.57,18,22,24,31,13,15,18,18,5.67,5.67,5.67,375,12,12,12,01.05,01.05,01.05,1,1,1,0.92,0.92,0.92,956,956,956,79.67,79.67,79.67,956,956,8,13,6,5,6.5,6.5,5.5,4.5,5,4.5,6.5,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,null,1,2,5,26,20,8,0.7254,466,5,11,54.93,11,null,null,21,25,59,47,10,10,117,18,18,3,null,-3,null,-6,1,19,181.95,-91.39,0.52,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Karrikaburu Jon,A,4,1,,,,,4,4,6,7,,,4,4,4.25,0,4.25,438.5,2,0,2,0.35,0,0.35,0,0,0,0,0,0,14,0,14,7,0,7,,,null,1000,0,0,0,0,4,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.25,8,null,null,,1,null,null,null,2,null,null,null,1,5,null,null,null,null,-2,null,-4,null,2,3,-7.1,-0.75,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Simeone Giuliano,A,1,-2,,,2.38,,3,3,12,14,10,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Luís Maximiano,G,14,1,,16,9.52,7.14,14,17,14,14,20,20,14,14,4.67,5,4.67,422,9,1,9,01.06,0,01.06,0,0,0,1,1,1,810,90,810,90,90,90,,,null,1000,5,0,0,6,5.5,3,5,4.5,4.5,5.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,22,8,null,null,null,null,null,22,null,null,null,null,20,-6,1,-12,null,null,129.17,-140.56,-45.72,0,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Mariño Diego,G,3,-4,,,,,7,7,7,7,,,7,7,4.5,0,4.75,0,1,0,2,0,0,0.35,0,0,0,1,0,0.5,90,0,135,90,0,67.5,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,1,1,null,null,null,null,null,null,null,null,null,null,1,-1,null,-2,null,null,62,-80,9.9,0,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Martínez Fernando,G,7,0,,,2.38,,7,7,20,23,16,16,7,7,3.5,0,05.07,501,2,0,27,0.71,0,1.23,0,0,0,1,0,1,180,0,2385,90,0,88.33,,,null,1000,0,4,3,0,0,0,0,0,0,0,0,0,4.5,6,5.5,6.5,4,4.5,4,7.5,3.5,6,6,4.5,5.5,4.5,5.5,6,2,4.5,6,5.5,5.5,6.5,4,6,6,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,1,3,null,null,null,null,null,7,null,null,null,null,3,-2,null,-4,null,null,75.75,-190,-115.35,4.75,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Akieme Sergio,DL,9,-1,,13,57.14,33.33,10,15,10,15,16,16,10,12,4.72,4.5,4.7,365.44,9,1,25,0.44,0,0.72,2,0,3,1,1,0.92,810,90,1938,90,90,77.52,405,646,5,4.5,4.5,0,0,4,5,0,5,5,5,5,4,5,5,5,4.5,0,0,0,3.5,0,0,0,0,0,0,6.5,5,5,3,4.5,4.5,5.5,3.5,5,4.5,4.5,5.5,0,null,,null,null,null,2,5,4,5,0.8229,524,5,7,54.05,8,null,null,29,13,31,22,15,17,86,8,8,6,null,-6,null,-10,1,9,179.72,-214.61,-21.8,4.50,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Kaiky,DC,8,1,,,,,8,8,8,8,8,8,8,8,4.17,0,4.45,403.83,6,0,11,01.03,0,0.85,1,0,1,0.67,0,0.45,424,0,520,70.67,0,47.27,424,520,6,8,0,0,3,4,4,4.5,0,0,3.5,6,0,0,0,0,0,0,0,0,0,5,0,4,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,3,2,1,0.779,289,3,4,52.78,6,null,null,6,7,null,null,21,15,42,null,null,null,null,-4,null,-11,null,1,103.37,-196.17,-33.25,0,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Houboulang Mendes Houboulang,DL,3,2,,,2.38,,3,3,,,3,3,3,3,4.63,4.5,4.18,469,4,2,11,0.25,0,0.75,0,0,0,0.5,0.5,0.64,212,135,601,53,67.5,54.64,,,null,1000,4.5,4.5,0,4.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,4.5,0,0,0,0,0,0,2.5,4.5,0,0,4,5,3.5,0,0,0,null,,null,null,null,null,1,1,1,0.8163,137,2,6,61.54,3,null,null,10,5,4,3,11,5,29,1,1,1,null,-4,1,-9,null,5,96.88,-148.87,-11.05,3.50,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Pubill Marc,DL,1,-5,,5,7.14,4.76,5,7,1,1,9,9,6,6,4.63,0,4.63,130.75,4,0,4,0.48,0,0.48,0,0,0,0.75,0,0.75,271,0,271,67.75,0,67.75,,,null,1000,0,0,0,0,0,0,0,0,4.5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,1,0,1,0.8089,224,3,8,58.33,2,null,null,9,9,10,9,7,6,41,4,4,2,null,-3,null,-5,null,3,153.5,-199.37,-20.2,0,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Pozo Álex,DL,9,-1,,,4.76,,10,10,9,9,10,10,10,10,4.25,0,4.79,357.38,8,0,29,1.1,0,0.94,0,0,0,0.5,0,0.66,378,0,1766,47.25,0,60.9,,,null,1000,0,3.5,3,4.5,5,2.5,0,0,5,0,5.5,5,3.5,6,5,5.5,3,5,0,5.5,5,0,5.5,5,5,6,0,5,0,4.5,4,5.5,5,4.5,5,5,6.5,0,1,,null,null,null,null,1,1,null,0.7285,304,2,3,40.63,5,null,null,12,7,17,11,5,14,65,6,6,1,null,-7,null,-16,null,4,66.81,-164,-21.79,5.00,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Chumi,DC,8,0,,,,,8,8,,,8,8,8,8,4.2,4.2,4.46,399.4,10,5,24,0.59,0.45,0.69,0,0,1,0.9,0.8,0.83,855,405,1955,85.5,81,81.46,,1955,6,1000,4.5,4,4.5,3.5,4.5,0,4.5,4.5,4,5,3,0,0,0,0,0,0,4.5,4,5.5,4.5,0,5,4.5,0,4,3.5,5,4,4,0,0,6,5,0,5.5,0,0,null,,null,null,null,1,0,0,null,0.8904,529,5,9,52.73,9,null,null,19,15,1,null,32,21,50,2,2,2,null,-7,null,-12,null,6,86.03,-175.65,-24.57,0,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
González Edgar,DC,8,1,,9,2.38,2.38,9,9,9,9,9,9,8,8,4.19,5,4.65,326.13,8,1,23,0.8,0,0.79,0,0,0,1,1,0.78,624,90,1611,78,90,70.04,,,null,1000,5,0,0,0,5.5,3,4,4.5,0,3.5,4,4,5,5.5,0,0,5.5,0,3.5,0,4,5.5,4.5,0,6,0,0,0,5,5,5,5,4.5,0,5.5,0,4,0,null,,null,null,null,null,3,1,null,0.902,478,8,6,63.16,6,null,null,16,8,null,null,35,13,46,1,1,1,null,-5,null,-10,1,1,107.13,-192,-19.77,0,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Centelles Álex,DL,6,-1,,,,,7,7,,,10,10,7,7,3.5,0,4.72,498.33,3,0,18,0.87,0,0.94,0,0,1,1,0,0.78,225,0,1347,75,0,74.83,,1347,5.5,1000,0,4.5,3,0,0,3,0,0,0,0,0,0,5.5,5.5,0,6.5,3.5,5,5,6,5.5,4.5,4.5,4.5,4.5,5,4,0,5,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,1,0,2,0.6994,156,3,2,56.25,2,null,null,5,2,14,9,6,11,37,4,4,null,null,-3,null,-8,null,2,121.17,-301.83,-39.87,0,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Montes César,DC,8,-1,,,2.38,,16,16,,,,,16,16,3.5,0,4.36,502.4,5,0,25,0.71,0,01.02,0,0,3,1,0,0.92,424,0,2013,84.8,0,80.52,,671,4.5,1000,0,3,3,0,0,3,4,4.5,0,0,0,0,4.5,5.5,4.5,5.5,3,5,0,2,5,5,4.5,4.5,4,4,4,5.5,0,0,5.5,3.5,5.5,6,4.5,0,0,0,null,,null,null,null,null,3,2,2,0.7234,293,1,4,62.86,3,null,null,14,6,1,null,19,15,65,null,null,1,null,-4,null,-9,null,3,101.28,-257.9,-45.08,0,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Arribas Sergio,MO,11,2,,17,83.33,66.67,15,20,16,24,13,15,14,15,5.29,5.29,5.25,393.33,12,12,14,1.37,1.37,1.27,4,4,4,0.5,0.5,0.43,675,675,692,56.25,56.25,49.43,169,173,6,2.75,4.5,4,4,5,5,3,8,5.5,6,5.5,7,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,null,,null,null,null,1,21,11,6,0.7906,313,4,5,52.11,5,null,null,14,11,10,9,1,19,69,10,10,7,null,-9,null,-18,2,12,127.08,-85.96,1.87,0,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
Robertone Lucas,MD,12,-3,,16,47.62,14.29,15,17,12,12,17,17,25,25,5.83,5.67,5.88,370.11,9,3,33,0.75,0.58,0.81,0,0,1,0.89,1,0.91,603,197,2513,67,65.67,76.15,,2513,6,1000,6,6,5,0,0,0,5.5,7.5,6,5,6,5.5,6,5.5,5,7,5.5,6,6,6,6,4,6.5,6,5.5,6,4.5,6,7,0,6,5.5,7,8,5,5.5,6,0,1.5,,null,null,4,3,13,6,10,0.7977,509,15,7,67.69,9,null,null,15,23,18,13,10,12,84,15,15,5,null,-7,null,-11,null,9,204.22,-111.39,-9.06,5.00,Almería,Real Sociedad,sam. 11/11 16:15,24.509803921568626,0.27125,0.2844,0.29197
