Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j12,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Sivera Antonio,G,13,0,,16,35.71,19.05,14,20,14,17,20,20,14,14,5.21,5.21,5.21,395.67,12,12,12,01.08,01.08,01.08,0,0,0,1,1,1,1080,1080,1080,90,90,90,,,null,1000,6,6.5,5,4.5,4,4.5,4,7,6.5,5.5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,null,null,null,null,0,0,null,,null,null,null,,null,18,13,null,null,null,null,null,13,null,null,null,null,13,-3,null,-6,null,null,93.83,-56.67,-7.57,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Jesús Owono,G,7,0,,7,7.14,2.38,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Duarte Rubén,DL,12,-1,,15,95.24,64.29,13,16,13,18,15,18,13,14,5.23,0,5.23,363.18,11,0,11,0.82,0,0.82,1,0,1,0.82,0,0.82,726,0,726,66,0,66,726,726,7,12,0,4,5.5,5,4.5,5,5,5.5,6,5.5,7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,null,1,null,2,8,5,2,0.6989,476,8,10,57.89,15,null,null,27,21,42,30,14,8,109,10,10,2,null,-4,null,-7,null,4,164.32,-146,-10.83,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Sedlar Aleksandar,DC,8,0,,9,9.52,4.76,9,9,9,9,8,8,9,9,4.73,4.71,4.73,381.82,11,7,11,0.72,0.86,0.72,1,1,1,1,1,1,948,629,948,86.18,89.86,86.18,948,948,6,8,6,4.5,4.5,5,4,5.5,3.5,0,5.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,null,null,null,null,4,1,null,0.8368,507,15,8,43.84,14,null,null,31,18,null,null,42,12,66,2,2,3,null,-2,null,-4,null,3,121.95,-149.23,-13.79,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Sola Álex,DL,11,5,,13,30.95,7.14,11,14,11,14,11,11,11,11,5.27,5.33,5.12,419.82,11,9,17,0.47,0.5,0.45,0,0,0,0.64,0.78,0.47,544,516,688,49.45,57.33,40.47,,,null,1000,5.5,5,5.5,5,6,6,5,4.5,5.5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4.5,5,5,0,0,0,0,0,0,4.5,0,1,,null,null,null,1,11,6,9,0.6682,283,4,7,63.53,7,null,null,11,15,24,17,4,8,88,9,9,6,null,-2,null,-5,2,14,116.32,-81.64,-2.06,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
López Javi,DL,9,2,,,,,9,9,,,,,9,9,5.13,5.25,5.13,378.13,8,2,8,0.44,0.35,0.44,0,0,0,0.38,0.5,0.38,419,135,419,52.38,67.5,52.38,,,null,1000,5,5.5,0,5,0,6,5,5,0,0,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,1,1,1,0,5,0.6046,302,1,3,57.14,5,null,null,18,8,27,19,10,5,77,5,5,4,null,-2,null,-4,null,9,114.74,-99,-9.5,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Tenaglia Nahuel,DL,7,1,,,,,7,7,,,,,7,7,5.13,5,5.13,500.25,4,1,4,0.25,0,0.25,0,0,0,0.25,0,0.25,90,7,90,22.5,7,22.5,,,null,1000,5,0,5.5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.5265,50,1,2,55.56,2,null,null,5,1,1,1,8,1,9,1,1,null,null,1,null,null,null,null,45.25,-37.12,-2.22,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Marín Rafa,DC,7,1,,8,7.14,7.14,9,9,7,7,9,9,7,7,4.94,5,4.94,345.44,9,1,9,0.39,0,0.39,0,0,0,0.56,0,0.56,456,1,456,50.67,1,50.67,,,null,1000,5,0,5,0,4,5,0,5,5.5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,null,4,1,null,0.5624,273,8,3,57.14,8,null,null,19,16,null,null,20,6,44,2,2,null,null,-1,null,-3,1,3,82.39,-93.11,-6,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Gorosabel Andoni,DL,10,2,,,4.76,,10,10,10,11,,,10,10,4.88,4.88,4.98,365.08,12,12,28,0.83,0.83,0.66,0,0,0,0.92,0.92,0.79,1017,1017,2011,84.75,84.75,71.82,,,null,1000,5,5,6,5.5,5,6,4,3.5,5,5,3.5,5,4,5,6,5,4.5,5,5,5,0,5,6,4.5,5.5,5,5.5,0,0,0,0,0,0,5,0,5,0,0,4,,null,null,null,2,5,5,7,0.8054,616,11,6,39.24,10,null,null,34,23,29,20,12,12,103,4,4,4,null,-3,null,-6,null,18,119.79,-147.46,-15.15,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
Abqar Abdel,DC,8,0,,,,,10,10,11,11,8,8,8,8,4.72,5.25,4.72,346.33,9,4,9,0.79,0.65,0.79,0,0,0,1,1,1,809,360,809,89.89,90,89.89,,,null,1000,6,4.5,5.5,5,0,0,4,5,0,4,3.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,null,null,null,null,4,1,null,0.7341,359,8,2,59.65,11,null,null,26,15,null,null,40,10,72,1,1,null,null,-3,null,-5,null,4,121.2,-155,-12.09,0,Alavés,Barcelona,dim. 12/11 16:15,10.1010101010101,0.3339,0.34667,0.33854
