Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Palomino José,DC,6,1,,,,,6,6,6,6,6,6,6,6,5,0,05.06,516.5,2,0,17,0,0,0.5,0,0,1,0,0,0.47,2,0,756,1,0,44.47,,756,5,1000,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,4.5,5,5,4,6,5,0,0,5,5.5,5.5,0,0,5,4.5,6,5,5,0,0,0,null,,null,null,null,null,0,0,null,0.625,14,null,null,100,null,null,null,2,null,null,null,null,null,3,null,null,null,null,2,null,4,null,null,21,-9,0.55,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Holm Emil,DL,8,1,,8,3.12,3.12,8,8,,,8,8,8,8,4.8,0,4.54,500.2,5,0,13,0.57,0,0.78,0,0,0,0.2,0,0.62,99,0,642,19.8,0,49.38,,,null,1000,0,0,0,5,5,4,4.5,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,5.5,3,3.5,5,5,0,0,null,,null,null,null,null,2,2,2,0.5633,86,2,3,45.71,2,null,null,1,4,3,3,2,1,30,null,null,6,null,2,null,5,null,6,59.7,-90.3,-11,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Tolói Rafael,DC,11,1,,11,12.5,3.12,11,11,11,11,14,14,16,16,4.79,5,4.98,496.71,7,3,29,0.95,0.87,0.96,0,0,1,0.57,0.33,0.9,430,162,2364,61.43,54,81.52,,2364,7,1000,4,5.5,5.5,0,5,5.5,5,3,0,0,0,4.5,4,6,4,4.5,5,5,7,3.5,0,5.5,5,4,5.5,4,4,6,6,7,5,4.5,5.5,5.5,0,0,0,0,2.5,,null,null,null,null,1,0,null,0.8647,309,6,2,48.57,9,null,null,19,14,4,4,14,3,49,1,1,1,null,2,null,6,null,4,96.79,-119.29,-8.83,5.50,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Éderson,MO,17,2,,31,100,68.75,31,33,32,34,23,27,30,30,5.82,5.82,5.47,444.82,11,11,35,0.96,0.96,0.98,3,3,4,0.91,0.91,0.83,915,915,2575,83.18,83.18,73.57,305,644,6,5.67,5,5,7,6,5.5,6,5,5.5,8,6,5,5,4.5,5.5,4.5,4.5,5,5.5,5.5,6,4.5,7.5,6,4.5,6,5,4,7,5,0,4,7,5.5,4,6,5.5,0,0,4.5,,null,null,1,2,14,6,1,0.8232,732,16,17,54.55,15,null,null,34,38,8,4,8,9,123,7,7,17,null,2,null,9,1,10,238.09,-132.05,-10.02,6.00,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Koopmeiners Teun,MD,20,0,,34,93.75,68.75,36,40,33,36,36,40,40,40,5.8,5.5,5.67,436.5,10,2,30,01.09,2.12,1.2,3,1,9,0.9,1,0.93,802,146,2502,80.2,73,83.4,267,278,6,6.67,4,7,0,5.5,4.5,7,5,6,6.5,5.5,7,9,5,5,4,5.5,6,6,6.5,5.5,0,0,0,0,4.5,4.5,3.5,6.5,5.5,6,0,7,6,7,5,4,0,0,5.5,,null,1,2,2,18,11,7,0.7895,575,1,6,35.16,18,null,null,13,27,25,15,8,6,132,24,24,10,null,1,null,7,2,17,197.18,-91.91,-7.29,4.50,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Zortea Nadir,MD,3,-3,,6,3.12,3.12,6,6,3,6,6,6,6,6,5.5,0,5,160.33,3,0,15,1.32,0,0.98,1,0,2,0,0,0.53,94,0,861,31.33,0,57.4,94,431,6.5,3,0,0,0,0,0,0,0,4.5,0,5,7,0,5,5,5,0,4,0,0,4.5,0,0,0,0,4.5,6,4,4.5,6,0,0,6.5,0,0,0,3.5,0,0,null,,null,1,null,null,2,2,4,0.7732,72,1,2,43.75,3,null,null,3,null,6,3,2,1,12,2,2,2,null,-1,null,null,null,null,132.17,-82.17,-8.83,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Pasalic Mario,MO,15,1,,22,43.75,6.25,22,24,22,24,23,32,15,15,5.11,05.06,5.16,455.89,9,8,29,0.74,0.78,0.75,1,1,5,0.33,0.25,0.62,295,250,1352,32.78,31.25,46.62,295,270,6,15,4.5,5.5,5.5,4.5,5,4,6.5,5,0,0,5.5,5,6,7,5,4.5,5,5,7,0,5,5,4.5,5,5,0,0,0,5,5,5,0,5,6,4.5,4,0,0,1,,null,null,1,null,4,3,1,0.6805,161,null,null,47.22,1,null,null,7,7,2,2,7,4,49,3,3,6,null,2,null,7,1,11,65.89,-36.24,-1.36,5.00,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
De Ketelaere Charles,MO,12,-1,,20,56.25,25,18,21,24,28,19,19,16,18,5,5,4.9,425.45,11,11,31,0.74,0.74,0.51,1,1,1,0.55,0.55,0.32,575,575,1115,52.27,52.27,35.97,575,1115,6,12,5,5,4.5,4,5,4.5,6,4,6,5,6,5,0,5,4.5,0,5,4.5,5,5,5,5,5,5,5.5,5,5,5,0,4,5,0,4.5,4.5,0,4.5,0,0,2.5,,null,null,2,2,14,7,11,0.7162,359,1,5,49.49,8,null,null,5,10,8,7,2,4,102,12,12,14,null,2,null,9,2,14,98.25,-59.08,-1.35,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
de Roon Marten,MD,18,2,,24,100,37.5,20,29,18,21,25,27,33,34,5.91,5.91,5.49,431.45,11,11,34,0.89,0.89,0.85,0,0,3,1,1,1,990,990,2970,90,90,87.35,,990,6,1000,4.5,7,6,5,6.5,7,6,6.5,6,4.5,6,4.5,5,5.5,4,4.5,6,5.5,5,5.5,4.5,7,6,5.5,5,5,0,7,5.5,5.5,6,4.5,5,5,0,4.5,0,0,6.5,,null,null,4,1,5,3,4,0.8391,781,14,14,54.55,13,null,null,26,45,7,7,15,9,113,10,10,3,null,2,null,9,null,5,220,-117.14,-12.54,5.00,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Miranchuk Aleksey,MO,6,1,,7,6.25,6.25,7,7,16,18,9,9,7,7,5,0,5.4,492,3,0,25,0,0,0.91,0,0,2,0,0,0.68,72,0,1657,24,0,66.28,,829,6,1000,0,0,5,0,0,5,0,5,0,0,0,4,6.5,5,0,6,4.5,5,0,6.5,4.5,5,0,6,5,4.5,7,4.5,7,6,7,4,5.5,6,5,5.5,0,0,null,,null,null,null,null,0,0,null,0.6988,56,null,2,53.85,1,null,null,null,5,null,null,null,null,18,2,2,1,null,1,null,2,null,3,42.67,-28,-3.33,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Adopo Michel,MD,5,2,,,,,5,5,5,5,5,5,5,5,4.5,0,4.89,328.33,3,0,9,0.87,0,0.55,0,0,0,0,0,0.22,29,0,197,9.67,0,21.89,,,null,1000,0,0,0,0,0,0,5,3.5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5.5,5,0,5,0,0,0,5,0,0,0,null,,null,null,1,null,0,0,1,0.8718,33,null,null,33.33,null,null,null,2,3,null,null,null,1,9,1,1,2,null,1,1,3,null,2,32.17,-56,-2.23,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Scamacca Gianluca,A,13,-3,,34,87.5,46.88,26,37,31,44,33,33,26,28,5.5,5.75,5.33,438.38,8,4,12,1.73,1.85,1.5,5,3,6,0.63,1,0.67,456,294,718,57,73.5,59.83,91,120,6,2.6,6,8,5.5,3.5,0,0,0,4,8,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.5,4.5,0,4.5,0,0,0,0,3,,null,1,1,1,25,14,3,0.6665,246,1,3,41.54,7,null,null,null,7,2,2,2,4,89,4,4,18,null,null,null,6,3,20,151.88,-58.6,15.79,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Lookman Ademola,A,23,-1,,33,100,50,30,41,38,45,36,42,24,25,5.32,5.32,5.4,444.45,11,11,29,01.01,01.01,1.18,3,3,10,0.82,0.82,0.69,616,616,1599,56,56,55.14,205,160,5.5,7.67,6.5,6,6,4.5,4.5,4.5,7,6,5,4,4.5,6,4.5,5,0,0,0,0,0,0,5,6,5,4.5,5.5,4,4,7,4.5,7,8,8,0,4,5.5,4.5,0,0,4.5,,null,null,2,2,20,14,8,0.7957,367,1,2,34.33,11,null,null,6,14,12,10,null,6,99,11,11,9,null,2,null,9,2,19,116.25,-52.44,05.05,5.50,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Muriel Luis,A,7,-1,,7,21.88,6.25,7,7,7,7,21,21,7,7,4.94,4.8,4.8,422.75,8,5,28,0.62,0.57,0.77,0,0,2,0,0,0.14,134,80,677,16.75,16,24.18,,339,6,1000,5.5,4,4.5,5,5,0,6,0,5,4.5,0,6,5,5,4.5,5,6.5,4.5,4.5,4.5,5,5,5,4.5,4.5,5,5,0,2,4.5,4.5,0,0,4.5,0,0,0,0,null,,null,null,1,1,7,7,3,0.8121,128,1,null,34.78,5,null,null,null,4,6,1,null,1,34,11,11,6,null,1,null,7,null,6,43.79,-14.12,-0.03,4.50,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Touré El Bilal,A,8,-3,,,9.38,,14,14,14,14,14,14,21,25,0,0,5.11,0,0,0,14,0,0,0.94,0,0,4,0,0,0.64,0,0,782,0,0,55.86,,196,6,1000,0,0,0,0,0,0,0,0,0,0,0,6.5,4,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,6.5,6.5,5,4.5,4,5.5,6,4,5,5,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Vorlicky Lukas,A,1,0,,,,,1,1,,,,,1,1,0,0,4.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,7.33,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.50,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Skorupski Lukasz,G,17,3,,22,87.5,43.75,21,24,22,25,19,19,18,24,5.73,5.73,5.67,444.27,11,11,35,0.75,0.75,1.18,0,0,0,1,1,1,990,990,3150,90,90,90,,,null,1000,6,6,6,5.5,6.5,6.5,6.5,6,4.5,5,4.5,6,5,5,6,5,3.5,7.5,4,6,8,0,5,6,5.5,7,7.5,5.5,6.5,7,4.5,6,4,6,6.5,2.5,0,0,5,,null,null,null,null,0,0,null,,null,null,null,,null,19,11,null,null,null,null,null,7,null,null,null,null,15,3,null,4,null,null,105.45,-29.09,08.02,6.50,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
Ravaglia Federico,G,7,0,,7,34.38,21.88,7,8,7,8,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
De Silvestri Lorenzo,DL,9,4,,11,40.62,21.88,11,12,11,12,9,9,9,9,5.31,0,5.25,506.25,8,0,14,0.7,0,0.67,1,0,2,0.63,0,0.43,440,0,590,55,0,42.14,440,295,6.5,9,0,5,7,5,5,5,5,5.5,5,0,0,5,6.5,4.5,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,null,1,null,null,2,1,3,0.8336,333,5,3,65,2,null,null,11,3,5,4,11,3,42,null,null,1,null,3,null,5,null,2,83.19,-50.56,-6.44,0,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
Lucumí Jhon,DC,9,-2,,13,31.25,18.75,14,15,10,10,11,11,15,15,5.5,0,5.2,335.4,5,0,28,0.71,0,0.83,0,0,0,1,0,1,426,0,2451,85.2,0,87.54,,,null,1000,0,0,0,0,0,0,6,6,6,5,4.5,4,5,5.5,0,4.5,4,3.5,5.5,5.5,6,5.5,5,5,5,5.5,5,0,6,6,5.5,5,4.5,5,7.5,4,0,0,1,,null,null,null,null,3,2,1,0.9194,385,1,8,76.47,null,null,null,22,10,null,null,15,4,30,2,2,2,null,null,null,-1,null,2,154.8,-96,-3.18,6.00,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
Calafiori Riccardo,DL,9,2,,9,12.5,12.5,10,10,10,10,,,9,9,5.25,5.25,5.25,509.5,8,8,8,0.71,0.71,0.71,0,0,0,0.75,0.75,0.75,574,574,574,71.75,71.75,71.75,,,null,1000,6.5,5.5,5.5,5,5,5.5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,,null,null,null,1,0,0,null,0.9225,458,13,7,58.14,5,null,null,32,14,2,null,17,3,42,2,2,2,null,3,null,5,null,7,123.54,-89.12,-4.44,0,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
Kristiansen Victor,DL,10,-1,,16,28.12,9.38,15,17,11,11,17,18,13,13,5.25,5.17,4.74,518.5,8,3,19,0.6,0.29,0.98,0,0,0,0.5,0,0.74,434,53,1238,54.25,17.67,65.16,,,null,1000,5,5,5.5,0,5.5,4.5,5,5,6.5,0,0,0,0,0,2.5,5,3.5,6,4.5,4.5,4,0,0,0,4.5,3,5.5,5,0,0,0,0,0,0,0,0,0,0,2,,null,null,1,2,3,2,1,0.8295,312,2,4,57.69,5,null,null,12,2,10,6,7,1,52,10,10,null,null,4,null,6,null,4,91.75,-60.37,-6.35,0,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
Beukema Sam,DC,12,0,,16,62.5,37.5,15,17,15,17,15,16,15,17,5.2,5.5,5.2,423.6,10,1,10,0.59,0,0.59,0,0,0,1,1,1,900,90,900,90,90,90,,,null,1000,5.5,0,4.5,4.5,6,6,5,5,5.5,5.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,,null,null,null,null,3,1,null,0.8991,777,7,7,61.82,10,null,null,44,17,null,null,38,6,66,1,1,1,null,3,null,4,1,1,127.03,-95.95,-4.11,0,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
Bonifazi Kevin,DC,1,0,,1,9.38,9.38,1,1,1,1,1,1,1,1,5,0,4.86,548,1,0,7,0,0,0.8,0,0,0,1,0,0.86,90,0,576,90,0,82.29,,,null,1000,0,5,0,0,0,0,0,0,0,0,0,5,4.5,6,5.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,1,0.8675,97,null,null,66.67,1,null,null,5,3,null,null,7,1,13,null,null,null,null,null,null,null,null,1,133.5,-114,-6,0,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
Lykogiannis Charalampos,DL,11,2,,,9.38,,11,11,,,12,12,11,11,5,05.08,5.13,376,8,6,19,0.53,0.38,0.5,0,0,2,0.88,0.83,0.74,517,369,1214,64.63,61.5,63.89,,607,4.5,1000,5.5,5,4.5,5,5.5,5,0,0,0,5.5,4,0,0,0,5,0,5,0,0,5.5,0,0,5,0,0,0,0,5,0,0,6,5.5,5,5,6,4.5,0,0,3,,null,null,null,null,5,3,3,0.8083,341,4,3,37.5,5,null,null,8,8,25,20,20,5,61,4,4,3,null,2,null,3,null,1,108.25,-115,-11.39,0,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
Corazza Tommaso,DL,8,3,,,,,8,8,,,,,8,8,4.92,0,4.92,330.5,6,0,6,0.2,0,0.2,0,0,0,0.17,0,0.17,144,0,144,24,0,24,,,null,1000,0,0,5,5,5,5,0,0,0,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,null,1,0,null,0.8407,126,4,3,52.63,1,null,null,3,4,4,3,2,1,18,null,null,1,null,1,null,2,null,1,46.25,-51.17,-4.23,0,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
Posch Stefan,DC,12,-3,,15,28.12,15.62,15,15,16,16,15,15,15,15,4.79,5,5.1,343,7,2,31,0.27,0,01.07,0,0,5,0.71,0.5,0.94,438,135,2453,62.57,67.5,79.13,,491,6,1000,5,5,0,0,0,0,5,4.5,5,4.5,4.5,5,4,7,0,4.5,3.5,4.5,4.5,6,6,8,4.5,4,5,5,5.5,5.5,6.5,6.5,5.5,6,3.5,5,6,3,0,0,1,,null,null,null,null,3,2,1,0.8693,389,5,8,48.98,10,null,null,7,4,9,8,8,4,51,1,1,3,null,1,null,null,null,5,83.86,-124.14,-12.76,6.50,Bologna,Fiorentina,dim. 12/11 15:00,29.154518950437314,0.56625,0.56513,0.56878
