Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Carnesecchi Marco,G,7,0,,9,50,37.5,7,8,7,7,8,8,9,15,6,0,5.5,545.33,3,0,26,1,0,1.44,0,0,0,1,0,1,270,0,2340,90,0,90,,,null,1000,0,0,7,0,0,6,0,5,0,0,0,0,0,2,5,8,6,6,4,6.5,6,3.5,7,4,5,6,6,5.5,4,7,7,4,4.5,7,4,7,0,0,2,,null,null,null,null,0,0,null,,null,null,null,,null,6,5,null,null,null,null,null,3,null,null,null,null,5,1,null,2,null,null,145,-43.33,-1.2,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Musso Juan,G,14,1,,18,71.88,56.25,17,20,18,20,16,18,22,25,5.56,5,5.37,402.88,8,2,23,1.21,1.41,1.14,0,0,0,1,1,1,720,180,2070,90,90,90,,,null,1000,4,6,0,4,6.5,0,6,0,6.5,4.5,7,0,0,0,0,0,5,0,0,0,4.5,6,5,5,5.5,3.5,4,7,7,7,6,4.5,5,0,4,0,0,0,5,,null,null,null,null,0,0,null,,null,null,null,,null,11,6,null,null,null,null,null,6,null,null,null,null,12,1,null,7,null,null,106.13,-41.25,-1.49,5.50,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Rossi Francesco,G,3,0,,,3.12,,3,3,3,3,3,3,3,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Kolasinac Sead,DL,13,2,,15,71.88,46.88,13,15,14,15,13,17,13,15,05.05,05.05,5.31,432.36,11,11,34,0.91,0.91,01.07,1,1,5,0.82,0.82,0.85,800,800,2533,72.73,72.73,74.5,800,507,4.5,13,4,6.5,5,4.5,5,5,6,3.5,6,4.5,5.5,4,5,4,5,3.5,5.5,4.5,6.5,6,5.5,0,5.5,7.5,3,5,6,5,5.5,5.5,7,6,6,7,6.5,0,0,0,5,,null,null,null,null,4,2,null,0.8584,586,12,9,52.7,12,null,null,40,27,2,2,11,8,87,2,2,3,null,2,null,9,null,8,132.68,-124.41,-13.33,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Djimsiti Berat,DC,11,2,,14,90.62,62.5,14,16,14,16,21,21,15,16,5.5,5.64,5.13,437.6,10,7,30,0.91,0.9,0.89,0,0,0,1,1,0.93,885,630,2432,88.5,90,81.07,,,null,1000,5,6.5,6.5,4,5.5,6,6,0,6,4,5.5,5,3.5,5,5.5,4,6,5,6,5,4,0,0,5.5,5,4,3.5,6,5.5,6,5,0,5.5,0,0,4,0,0,6.5,,null,null,null,1,3,1,1,0.8827,616,18,6,62.5,11,null,null,35,21,1,1,22,6,64,3,3,null,null,3,null,10,null,3,157,-104,-6.63,5.00,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Ruggeri Matteo,DL,10,2,,13,90.62,75,12,14,13,14,11,14,10,12,5.45,5.45,5.24,430.45,11,11,23,01.06,01.06,1,0,0,0,1,1,0.83,928,928,1729,84.36,84.36,75.17,,,null,1000,5,6.5,6,5,5.5,5.5,5.5,4,6.5,3.5,7,0,0,0,0,0,0,0,0,0,0,6,7,3.5,4,5,0,0,5,5,5,4.5,6,5,0,4.5,0,0,6.5,,null,null,3,4,4,2,5,0.8451,672,7,5,42.37,9,null,null,28,26,37,26,7,8,87,11,11,2,null,2,null,9,null,8,175.68,-130.91,-12.38,4.00,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Hateboer Hans,DL,3,2,,5,28.12,18.75,6,7,7,7,3,3,3,3,5.38,5.5,5.25,524.75,4,3,10,0.75,0.87,0.92,0,0,0,0.25,0.33,0.7,171,126,615,42.75,42,61.5,,,null,1000,5,6.5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,4.5,6.5,4.5,0,5,0,4,0,0,0,1,,null,null,null,2,4,2,null,0.9036,111,2,1,37.5,2,null,null,4,2,9,4,3,1,12,6,6,1,null,2,null,5,null,3,93.5,-48.87,-3.1,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Scalvini Giorgio,DC,11,-1,,16,84.38,62.5,14,18,13,14,15,16,17,25,5.23,5.23,4.92,446,11,11,33,0.88,0.88,0.85,0,0,1,0.91,0.91,0.97,814,814,2557,74,74,77.48,,2557,6,1000,4.5,5.5,5.5,4,5.5,5,5.5,5,7,4,6,5,4.5,4.5,3.5,4,5,6,6,4.5,4,5.5,5.5,4,0,3.5,0,4,4.5,6,5,6,5,4,5,0,0,0,4.5,,null,null,null,null,6,4,2,0.8135,657,20,14,64.29,12,null,null,40,24,2,2,23,9,92,1,1,2,null,2,null,9,1,5,158.86,-131.36,-11.26,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Zappacosta Davide,DL,10,-1,,15,53.12,28.12,15,15,14,15,15,15,22,24,5,5,5.14,396.44,9,1,28,0.87,0,01.07,0,0,4,1,1,0.89,639,55,2025,71,55,72.32,,506,5.5,1000,5,0,5.5,3.5,5,0,6,4.5,6,4,5.5,4.5,4,7,5,3.5,5.5,7.5,6,4.5,4.5,5,6,5,0,4,4.5,7.5,0,0,0,4,5.5,5.5,0,0,0,0,4.5,,null,null,null,1,15,9,5,0.8789,431,null,4,41.3,4,null,null,16,12,19,14,4,6,61,4,4,6,null,null,null,5,4,12,130.72,-132.89,-12.64,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
Bakker Mitchel,DL,13,1,,13,25,9.38,13,13,13,13,17,19,13,13,5,0,5,401.8,5,0,5,0,0,0,0,0,0,0,0,0,40,0,40,8,0,8,,,null,1000,0,5,0,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,2,0.7817,62,null,null,77.78,null,null,null,3,2,4,4,1,1,15,2,2,1,null,null,null,4,null,4,34.5,-30.6,-2.68,0,Atalanta,Udinese,dim. 12/11 15:00,51.02040816326531,0.57643,0.58243,0.57053
