Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Kerkez Milos,DL,7,0,,9,14.58,10.42,7,8,7,7,7,7,16,17,4.11,4.11,4.11,425.89,9,9,9,0.78,0.78,0.78,0,0,0,1,1,1,758,758,758,84.22,84.22,84.22,,,null,1000,4.5,3,4.5,3,5,4,4.5,3.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,null,null,null,null,2,1,5,0.7542,479,8,10,56.12,13,null,null,21,11,26,20,22,16,103,2,2,8,null,-6,1,-14,null,11,133.94,-254.89,-24.9,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Smith Adam,DL,6,1,,,,,6,6,,,6,6,9,9,4,0,4.62,451,2,0,26,0.71,0,0.71,0,0,0,0.5,0,0.85,93,0,1916,46.5,0,73.69,,,null,1000,0,3.5,4.5,0,0,0,0,0,0,5,5,5,4,5.5,5,4,5,6,4.5,4.5,5,4,4,5,4,4,5,0,4,4,4,6.5,4,5,0,0,0,0,null,,null,null,null,null,0,0,null,0.857,70,null,null,33.33,1,null,null,2,2,3,1,2,4,12,1,1,1,null,-2,null,-7,null,1,50.75,-162.75,-22.1,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Zabarnyi Illia,DC,8,1,,8,7.29,3.12,8,8,8,8,8,8,10,10,4,4,4.15,430.89,9,9,13,0.56,0.56,0.63,0,0,0,1,1,0.92,810,810,1102,90,90,84.77,,,null,1000,4,3,4,3.5,5,4,4.5,4,4,5,4.5,3.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,null,null,null,null,2,1,1,0.8169,549,10,7,60.81,5,null,null,28,14,null,null,31,18,88,null,null,1,null,-6,1,-14,1,5,119.06,-220,-26.83,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Fredericks Ryan,DL,1,0,,1,4.17,3.12,1,1,,,1,1,1,1,0,0,4.75,0,0,0,6,0,0,0.42,0,0,0,0,0,0.17,0,0,163,0,0,27.17,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,5,0,0,0,0,0,0,0,4,4.5,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Greenwood Ben,DL,1,0,,1,02.08,02.08,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Brooks David,MO,8,0,,8,21.88,9.38,8,8,8,8,8,8,9,9,5.19,5,05.04,428.5,8,2,13,0.8,0,0.66,1,0,1,0.25,0.5,0.31,225,80,379,28.13,40,29.15,225,379,7,8,5,5,0,4.5,5,7,5,5.5,4.5,5,5,4.5,5,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,1,8,5,2,0.7052,140,2,4,33.33,6,null,null,6,8,6,5,2,3,39,6,6,1,null,-5,null,-10,1,7,72.19,-40.12,-0.75,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Tavernier Marcus,MO,12,-1,,14,36.46,6.25,13,14,16,18,13,14,13,13,5.25,5.25,5.59,523.5,6,6,16,0.69,0.69,1.32,0,0,5,0.83,0.83,0.75,379,379,1055,63.17,63.17,65.94,,211,7,1000,4.5,4.5,5,5.5,6,6,0,0,0,0,0,0,0,0,7,3,4.5,4.5,7,0,0,0,0,7,5,0,0,0,0,0,0,7.5,7.5,5,0,0,0,0,0.5,,null,null,1,1,5,4,5,0.6964,206,2,4,50.82,3,null,null,8,7,8,7,2,8,54,6,6,10,null,-4,null,-10,null,7,130.08,-99.67,-4.08,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Billing Philip,MO,13,-2,,18,81.25,14.58,18,19,15,16,18,20,15,15,05.06,05.06,5.36,441,9,9,32,0.92,0.92,01.08,0,0,4,1,1,1,783,783,2579,87,87,80.59,,645,6.5,1000,5.5,4,4,4,6,6,5.5,4.5,6,5.5,0,4,5,5,6,3.5,5.5,8,6,4.5,7,7.5,4,5.5,5.5,6.5,0,5,4,5,5,6,6.5,5.5,0,0,0,0,0.5,,null,null,1,1,16,9,10,0.8055,431,13,12,52.94,9,null,null,18,24,9,7,19,17,83,10,10,9,null,-6,1,-14,1,15,173.83,-149.11,-5.41,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Traorè Hamed,MO,6,-1,,,,,7,7,8,8,7,7,8,8,5,0,4.92,461.67,3,0,18,1,0,0.9,0,0,0,0,0,0.56,44,0,939,14.67,0,52.17,,,null,1000,0,0,0,5,0,0,4,6,0,0,0,0,0,0,0,0,0,0,4.5,5,0,0,5,6,5,5,0,7,5.5,4.5,5,5.5,3.5,4.5,4,3.5,0,0,null,,null,null,null,null,3,3,2,0.8047,46,null,null,42.86,null,null,null,null,3,2,2,null,1,14,1,1,1,null,-3,null,-6,null,2,59,-50.83,-6.57,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Rothwell Joe,MD,9,0,,,,,10,10,10,11,9,9,10,10,4.83,4.83,05.08,372,6,3,25,0.82,0.29,0.69,0,0,0,0.5,0,0.6,304,93,1308,50.67,31,52.32,,,null,1000,5,4.5,5,0,0,0,5,3.5,6,0,0,4.5,4.5,5.5,6.5,4.5,5.5,6,5,4.5,6,6,5.5,5,0,5,5.5,4.5,4.5,5,0,0,4.5,0,0,0,0,0,null,,null,null,null,null,2,1,1,0.8525,208,2,2,46.88,4,null,null,10,13,5,5,1,8,40,3,3,2,null,-5,null,-12,null,5,95.25,-107.67,-10.03,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
